ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",42255,0.0237,0.1731,0.826,0.0009,34129,0.8878,0.1122,0.05,0.0252,0.0056,0.029,0.0007,
"2",40789,-0.0118,0.2378,0.7616,0.0006,33154,0.8128,0.1872,0.035,0.1108,0.0156,0.0243,0.0007,
"3",42143,0.021,0.3203,0.6784,0.0013,36522,0.7818,0.2182,0.0448,0.0915,0.0637,0.0168,0.0012,
"4",41992,0.0173,0.1314,0.8672,0.0014,33136,0.8941,0.1059,0.0266,0.0375,0.0053,0.0311,0.0007,
"5",42142,0.0209,0.209,0.7903,0.0007,32908,0.7782,0.2218,0.0834,0.103,0.0114,0.0224,0.0012,
"6",40247,-0.025,0.2175,0.781,0.0015,31068,0.8012,0.1988,0.0345,0.1156,0.0242,0.0201,0.0008,
"7",40292,-0.0239,0.2195,0.7794,0.0012,31159,0.7656,0.2344,0.0216,0.1853,0.0048,0.0213,0.0006,
"8",41145,-0.0032,0.2539,0.7453,0.0008,32693,0.7283,0.2717,0.0377,0.2033,0.0091,0.0208,0.0016,
"9",41974,0.0169,0.2521,0.7465,0.0013,32676,0.7531,0.2469,0.0553,0.1601,0.0144,0.0186,0.0017,
"10",42158,0.0213,0.2278,0.7712,0.001,32069,0.7753,0.2247,0.0794,0.0961,0.0239,0.0246,0.0008,
"11",40357,-0.0223,0.237,0.7624,0.0007,31934,0.7383,0.2617,0.0252,0.2097,0.0049,0.019,0.0011,
"12",40274,-0.0243,0.4412,0.5586,0.0003,32034,0.4623,0.5377,0.0724,0.4467,0.0083,0.0157,0.0012,
"13",40433,-0.0205,0.2241,0.7752,0.0006,32154,0.7738,0.2262,0.0237,0.1693,0.0146,0.0159,0.001,
"14",40858,-0.0102,0.2731,0.7254,0.0015,32085,0.6662,0.3338,0.0526,0.2564,0.0066,0.0213,0.0006,
"15",42302,0.0248,0.5341,0.4647,0.0012,32544,0.4483,0.5517,0.1539,0.3162,0.053,0.0286,0.0029,
"16",41781,0.0122,0.2913,0.7072,0.0015,31015,0.714,0.286,0.0754,0.1698,0.0198,0.0195,0.0018,
"17",42109,0.0201,0.1944,0.8034,0.0022,33467,0.8769,0.1231,0.0364,0.0489,0.0091,0.0243,0.0015,
"18",42229,0.023,0.2258,0.7726,0.0016,32671,0.776,0.224,0.0828,0.1009,0.0172,0.0216,0.001,
"19",41475,0.0048,0.3544,0.6436,0.002,32693,0.6556,0.3444,0.1771,0.1318,0.0191,0.0265,0.0017,
"20",42147,0.0211,0.2813,0.7166,0.002,32880,0.7329,0.2671,0.1008,0.103,0.0419,0.0199,0.0015,
"21",42304,0.0249,0.2814,0.7172,0.0014,31721,0.7493,0.2507,0.0735,0.0794,0.0779,0.0151,0.0007,
"22",42154,0.0212,0.3569,0.6408,0.0023,34044,0.7713,0.2287,0.0641,0.1043,0.0423,0.0165,0.0022,
"23",40323,-0.0231,0.5653,0.432,0.0027,31641,0.4255,0.5745,0.1389,0.4102,0.0153,0.0196,0.002,
"24",42236,0.0232,0.3698,0.6277,0.0025,33441,0.752,0.248,0.0629,0.1288,0.0381,0.0148,0.0017,
"25",40607,-0.0162,0.584,0.4151,0.001,30364,0.3407,0.6593,0.1236,0.5132,0.0103,0.0222,0.0014,
"26",41463,0.0045,0.3632,0.6359,0.0009,29540,0.7096,0.2904,0.0807,0.1291,0.0607,0.0213,0.0015,
"27",42108,0.0201,0.3656,0.6327,0.0017,32826,0.6757,0.3243,0.0853,0.1867,0.0319,0.0194,0.0013,
"28",40584,-0.0168,0.3285,0.6704,0.0011,30601,0.7023,0.2977,0.0811,0.1761,0.0191,0.0198,0.0011,
"29",42241,0.0233,0.2181,0.7812,0.0006,33159,0.762,0.238,0.0311,0.1747,0.0065,0.0245,0.0006,
"30",41619,0.0083,0.1872,0.8121,0.0007,31956,0.7492,0.2508,0.0474,0.1753,0.0079,0.0207,0.0003,
"31",42128,0.0206,0.6693,0.3298,0.001,32266,0.3534,0.6466,0.097,0.5108,0.0305,0.0175,0.0014,
"32",40616,-0.016,0.3178,0.6798,0.0024,32415,0.686,0.314,0.0795,0.188,0.0284,0.0181,0.0019,
"33",40894,-0.0093,0.2698,0.7296,0.0006,32173,0.7381,0.2619,0.042,0.177,0.0257,0.017,0.0007,
"34",42058,0.0189,0.3233,0.6759,0.0009,32027,0.6732,0.3268,0.0725,0.1838,0.0497,0.0216,0.0009,
"35",41682,0.0098,0.2743,0.7241,0.0017,30911,0.7629,0.2371,0.062,0.1107,0.0416,0.0182,0.0012,
"36",41908,0.0153,0.2827,0.7161,0.0013,31374,0.6673,0.3327,0.1077,0.1852,0.0186,0.0267,0.0014,
"37",41805,0.0128,0.2837,0.7153,0.001,31394,0.6906,0.3094,0.0755,0.1749,0.0419,0.0197,0.0011,
"38",41175,-0.0025,0.1665,0.8325,0.001,31717,0.865,0.135,0.0358,0.0578,0.0163,0.0221,0.0012,
"39",40693,-0.0142,0.2008,0.799,0.0002,31333,0.7572,0.2428,0.0802,0.1365,0.006,0.0227,0.0009,
"40",40290,-0.0239,0.2826,0.7167,0.0007,31811,0.6525,0.3475,0.0671,0.2605,0.0059,0.0183,0.0007,
"41",40426,-0.0206,0.5375,0.4616,0.0008,32092,0.4327,0.5673,0.0216,0.5242,0.0097,0.0154,0.0015,
"42",40423,-0.0207,0.3074,0.6921,0.0005,31739,0.657,0.343,0.0175,0.3042,0.007,0.0141,0.0014,
"43",40341,-0.0227,0.2906,0.709,0.0004,31575,0.7289,0.2711,0.0314,0.1819,0.0129,0.0434,0.0012,
"44",40454,-0.02,0.3646,0.6348,0.0006,31290,0.7763,0.2237,0.0678,0.0954,0.0429,0.0144,0.001,
"45",40294,-0.0238,0.3298,0.6696,0.0006,31237,0.6159,0.3841,0.0511,0.3108,0.006,0.0181,0.0006,
"46",42078,0.0194,0.3937,0.6058,0.0006,32936,0.6785,0.3215,0.0721,0.2024,0.0248,0.0244,0.0014,
"47",42120,0.0204,0.2451,0.7541,0.0007,32285,0.8052,0.1948,0.0433,0.1068,0.0154,0.0282,0.0006,
"48",42231,0.0231,0.3262,0.6729,0.0009,32542,0.7422,0.2578,0.0637,0.1418,0.0291,0.0222,0.0013,
"49",40633,-0.0156,0.586,0.4132,0.0008,31331,0.4076,0.5924,0.0458,0.5217,0.0106,0.0176,0.002,
"50",41038,-0.0058,0.519,0.4805,0.0005,32951,0.4431,0.5569,0.0282,0.5063,0.0086,0.016,0.0013,
"51",40539,-0.0179,0.6295,0.3695,0.001,31188,0.3312,0.6688,0.0341,0.6122,0.0136,0.0163,0.002,
"52",42218,0.0228,0.3612,0.6382,0.0006,32210,0.6708,0.3292,0.0462,0.2511,0.0119,0.0206,0.0009,
"53",40677,-0.0146,0.2595,0.7395,0.001,31851,0.7042,0.2958,0.0407,0.2323,0.0046,0.0205,0.0004,
"54",40334,-0.0229,0.4917,0.5074,0.0009,32546,0.426,0.574,0.0212,0.518,0.0085,0.0314,0.001,
"55",40256,-0.0247,0.3717,0.6276,0.0007,30619,0.5341,0.4659,0.0253,0.3935,0.0047,0.0469,0.001,
"56",42307,0.0249,0.2821,0.7176,0.0004,33848,0.8138,0.1862,0.0507,0.0799,0.0299,0.0179,0.0013,
"57",40512,-0.0185,0.4811,0.5185,0.0003,31782,0.4557,0.5443,0.0197,0.5086,0.0055,0.0137,0.0009,
"58",40943,-0.0081,0.2554,0.7444,0.0002,31808,0.7249,0.2751,0.0472,0.193,0.0108,0.0233,0.0014,
"59",40408,-0.0211,0.5926,0.4072,0.0003,30969,0.3514,0.6486,0.022,0.608,0.0082,0.0132,0.0014,
"60",40927,-0.0085,0.3206,0.6789,0.0005,31488,0.6444,0.3556,0.0269,0.3045,0.0107,0.0147,0.0005,
"61",42264,0.0239,0.2995,0.6997,0.0008,35410,0.7466,0.2534,0.0821,0.1276,0.0194,0.0201,0.0012,
"62",40691,-0.0142,0.4808,0.5186,0.0006,31409,0.4595,0.5405,0.0179,0.5066,0.0047,0.0142,0.0009,
"63",40290,-0.0239,0.3191,0.6799,0.0009,31565,0.6572,0.3428,0.0316,0.256,0.0422,0.0146,0.0007,
"64",41157,-0.0029,0.4491,0.5505,0.0004,32677,0.4883,0.5117,0.0249,0.4652,0.0094,0.0153,0.0008,
"65",40970,-0.0075,0.2456,0.7538,0.0007,32335,0.733,0.267,0.0229,0.2178,0.0072,0.0187,0.0007,
"66",40255,-0.0248,0.3862,0.6131,0.0007,28528,0.7566,0.2434,0.0566,0.0827,0.0867,0.0151,0.0007,
"67",41338,0.0015,0.3589,0.6403,0.0008,31626,0.6291,0.3709,0.0395,0.2814,0.0311,0.0202,0.0028,
"68",42124,0.0205,0.2782,0.7212,0.0007,34013,0.8253,0.1747,0.0622,0.0655,0.0204,0.0221,0.0019,
"69",41241,-0.0009,0.3041,0.6945,0.0014,30893,0.7404,0.2596,0.0471,0.1336,0.0579,0.0214,0.0019,
"70",42145,0.021,0.7672,0.2317,0.0011,33221,0.2769,0.7231,0.0422,0.663,0.0142,0.0144,0.0014,
"71",40721,-0.0135,0.3485,0.6503,0.0012,30414,0.7372,0.2628,0.0351,0.173,0.0358,0.0193,0.0013,
"72",42041,0.0185,0.6741,0.3217,0.0042,37310,0.6188,0.3812,0.0449,0.267,0.0599,0.0127,0.0017,
"73",41017,-0.0063,0.728,0.2711,0.0009,33182,0.3274,0.6726,0.0448,0.6021,0.0187,0.015,0.0019,
"74",41779,0.0121,0.7843,0.2121,0.0036,34788,0.3828,0.6172,0.0318,0.5565,0.0232,0.0125,0.0024,
"75",40422,-0.0207,0.4385,0.5578,0.0037,31680,0.7046,0.2954,0.0727,0.1786,0.0331,0.0151,0.0023,
"76",41667,0.0094,0.7696,0.229,0.0014,31744,0.2216,0.7784,0.0779,0.6662,0.0328,0.0166,0.0023,
"77",40489,-0.0191,0.683,0.3159,0.0011,29951,0.3414,0.6586,0.0505,0.5742,0.0325,0.0152,0.0029,
"78",41126,-0.0037,0.5277,0.4705,0.0018,32331,0.4998,0.5002,0.1036,0.3298,0.059,0.0165,0.0037,
"79",40423,-0.0207,0.7188,0.2801,0.0011,29700,0.3222,0.6778,0.0575,0.574,0.0401,0.0173,0.003,
"80",40554,-0.0175,0.3424,0.6568,0.0008,30598,0.8653,0.1347,0.0329,0.055,0.0308,0.0116,0.0011,
"81",40327,-0.023,0.3024,0.6966,0.0011,32967,0.783,0.217,0.038,0.1349,0.0229,0.0204,0.0013,
"82",40382,-0.0217,0.4563,0.5422,0.0015,32065,0.4259,0.5741,0.0625,0.4912,0.0087,0.0173,0.0015,
"83",40381,-0.0217,0.2462,0.7529,0.0009,31810,0.7131,0.2869,0.0599,0.1863,0.0196,0.0225,0.0014,
"84",41452,0.0042,0.2966,0.7031,0.0003,31551,0.6635,0.3365,0.0655,0.2325,0.0121,0.0294,0.002,
"85",40468,-0.0196,0.3346,0.6642,0.0012,32170,0.7558,0.2442,0.0371,0.1553,0.0316,0.0194,0.0022,
"86",40365,-0.0221,0.2874,0.7112,0.0013,31684,0.6866,0.3134,0.0636,0.22,0.0048,0.0252,0.0015,
"87",41767,0.0119,0.2294,0.7695,0.0011,30924,0.8167,0.1833,0.0503,0.0845,0.0301,0.0186,0.0013,
"88",41566,0.007,0.2845,0.7147,0.0007,31955,0.7348,0.2652,0.0589,0.1573,0.02,0.0323,0.0013,
"89",41438,0.0039,0.3915,0.6068,0.0017,33832,0.6701,0.3299,0.0909,0.1877,0.0339,0.0227,0.0009,
"90",40268,-0.0245,0.5583,0.4411,0.0006,31504,0.3905,0.6095,0.0196,0.5635,0.0154,0.0144,0.0015,
"91",40353,-0.0224,0.4886,0.5109,0.0005,31669,0.4454,0.5546,0.0228,0.5087,0.0081,0.0171,0.001,
"92",41913,0.0154,0.3804,0.6178,0.0017,32099,0.6181,0.3819,0.0822,0.2161,0.0495,0.0248,0.0027,
"93",41160,-0.0028,0.5206,0.4783,0.0011,32505,0.4337,0.5663,0.0341,0.5069,0.0095,0.0191,0.0015,
"94",42158,0.0213,0.3534,0.6455,0.0011,32193,0.7034,0.2966,0.0492,0.1977,0.0241,0.0261,0.0026,
"95",40416,-0.0209,0.5675,0.432,0.0005,32815,0.3866,0.6134,0.0155,0.576,0.0076,0.0172,0.0009,
"96",40983,-0.0071,0.273,0.7256,0.0014,30108,0.7449,0.2551,0.0805,0.1336,0.0099,0.0314,0.0009,
"97",42278,0.0242,0.32,0.6793,0.0007,31952,0.6893,0.3107,0.0406,0.2291,0.0106,0.03,0.0017,
"98",41807,0.0128,0.4044,0.5942,0.0014,31035,0.6438,0.3562,0.0623,0.226,0.0453,0.0237,0.0036,
"99",41034,-0.0059,0.3209,0.6778,0.0013,31109,0.7609,0.2391,0.0797,0.0943,0.0411,0.018,0.0025,
"100",41676,0.0097,0.3483,0.6509,0.0009,30973,0.6288,0.3712,0.0443,0.2802,0.0212,0.0253,0.0027,
"101",40465,-0.0197,0.5483,0.4503,0.0013,31710,0.3737,0.6263,0.0217,0.5897,0.0074,0.0142,0.0013,
"102",40338,-0.0228,0.4626,0.5365,0.0009,30649,0.5042,0.4958,0.0403,0.412,0.0167,0.0293,0.0015,
"103",40263,-0.0246,0.5184,0.4815,0.0001,31911,0.4759,0.5241,0.0411,0.4613,0.0105,0.0123,0.0015,
"104",42277,0.0242,0.2598,0.7399,0.0003,36903,0.8313,0.1687,0.0356,0.101,0.0103,0.0183,0.0012,
"105",40441,-0.0203,0.2494,0.7499,0.0008,32701,0.763,0.237,0.0466,0.1575,0.0091,0.0241,0.0013,
"106",42059,0.0189,0.2564,0.7433,0.0002,37237,0.9045,0.0955,0.0264,0.0289,0.0158,0.0182,0.0023,
"107",42040,0.0185,0.3174,0.6818,0.0008,35377,0.7325,0.2675,0.0963,0.1204,0.0267,0.0185,0.0018,
