county,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_ASI24,CVAP_AMI24,CVAP_NHP24,CVAP_2OM24
ABBEVILLE,19481,321,19160,13774,4930,56,11,4,0
AIKEN,134084,6188,127896,91716,31663,1230,151,39,431
ALLENDALE,6218,228,5990,1554,4258,14,41,5,21
ANDERSON,158869,4284,154585,126382,21395,1276,693,41,356
BAMBERG,10563,72,10491,4031,6312,60,4,0,21
BARNWELL,15455,250,15205,8271,6485,89,20,5,36
BEAUFORT,152637,10465,142172,114849,23053,1190,59,4,268
BERKELEY,181250,10152,171098,118840,42634,4159,494,162,708
CALHOUN,11556,386,11170,6503,4455,25,0,10,0
CHARLESTON,323509,11779,311730,225736,73857,4999,264,190,909
CHEROKEE,42652,1316,41336,32213,7856,38,97,0,212
CHESTER,24770,394,24376,15206,8505,106,38,9,42
CHESTERFIELD,33101,953,32148,20703,10479,97,82,0,191
CLARENDON,24995,458,24537,12941,11024,132,56,4,17
COLLETON,29195,397,28798,17799,9959,40,94,24,387
DARLINGTON,48191,733,47458,27026,19377,301,74,4,31
DILLON,20527,260,20267,9848,9314,8,449,0,17
DORCHESTER,123040,5749,117291,80653,30677,2282,297,25,240
EDGEFIELD,22045,857,21188,13243,7088,70,22,0,29
FAIRFIELD,16845,354,16491,7043,9112,17,0,0,9
FLORENCE,102958,2250,100708,54664,43064,1045,147,38,82
GEORGETOWN,53165,1229,51936,36964,14116,58,71,19,25
GREENVILLE,398995,25763,373232,287891,63924,8159,970,158,981
GREENWOOD,52501,1809,50692,33282,16298,314,10,4,41
HAMPTON,14102,335,13767,6111,7466,22,16,0,5
HORRY,306362,11955,294407,250730,33537,3494,451,252,756
JASPER,24080,1613,22467,13385,8203,195,16,0,20
KERSHAW,51428,1794,49634,35543,12617,350,79,23,151
LANCASTER,78755,3365,75390,57113,15399,1339,69,5,238
LAURENS,51972,1376,50596,36985,12306,278,43,47,100
LEE,12909,270,12639,4541,7810,21,23,4,7
LEXINGTON,224715,8789,215926,173320,34315,3214,220,28,705
MARION,22055,267,21788,9155,11663,4,119,8,17
MARLBORO,20467,353,20114,8329,10088,94,611,0,98
MCCORMICK,8772,76,8696,5204,3401,17,0,13,0
NEWBERRY,29078,1136,27942,19104,8320,161,37,0,12
OCONEE,63419,1913,61506,55675,3246,407,251,25,149
ORANGEBURG,64601,961,63640,22646,39367,373,160,29,74
PICKENS,106472,3314,103158,92973,6573,973,94,34,345
RICHLAND,319195,14150,305045,139104,150546,6733,265,179,1526
SALUDA,13925,1085,12840,9241,3246,57,4,9,10
SPARTANBURG,252271,12764,239507,178489,50579,5147,190,105,567
SUMTER,78702,2317,76385,36626,36256,1085,87,174,130
UNION,21049,161,20888,14038,5765,21,74,4,84
WILLIAMSBURG,23889,288,23601,8050,15278,46,40,4,8
YORK,214809,10330,204479,154576,39656,4182,781,44,464
