district,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_ASI24,CVAP_AMI24,CVAP_NHP24,CVAP_2OM24
80,29532,990,28542,26030,1506,518,5,0,5
81,33202,1537,31660,25946,4457,396,50,8,77
82,33326,1714,31608,15064,15454,206,54,4,69
83,32126,1592,30553,24557,4846,383,26,15,1
84,31608,1610,29966,21402,7440,259,27,3,82
85,31564,965,30590,25012,4189,472,45,0,192
86,32282,996,31309,22365,8101,73,21,9,239
87,33884,1386,32598,28449,3160,617,1,3,28
88,31815,1441,30299,23315,6042,347,35,6,117
89,31203,1501,29760,21805,6279,579,11,6,161
90,30041,344,29679,11374,17501,153,40,13,52
91,30969,624,30336,13792,15758,168,81,10,81
92,28822,1759,27100,19324,6059,949,38,16,84
93,32011,722,31265,14292,16286,119,8,25,48
94,29719,1600,28147,21567,5602,356,45,5,125
95,32425,537,31920,12687,18499,169,111,4,26
96,30031,1472,28551,23125,4457,252,42,3,35
97,34177,1125,33033,23431,8010,298,132,25,130
98,30084,1917,28129,18334,7326,1168,18,0,81
99,32801,1787,30994,26432,2632,996,53,84,102
100,35460,1593,33853,22035,10581,436,166,29,36
101,32354,286,32083,12053,19113,100,45,4,136
102,32387,1359,31051,17512,11442,600,215,15,162
103,30606,603,29999,16047,13245,206,80,8,20
104,37262,1041,36207,31643,3800,203,75,4,5
105,33598,1169,32404,25332,5979,234,78,151,76
106,41856,647,41217,38225,1381,658,64,46,87
107,33623,1939,31554,25536,4503,436,29,19,164
108,35674,1059,34646,28664,5392,67,0,15,18
109,29538,1468,28053,12705,14314,330,94,24,125
110,34790,1026,33742,30705,2123,467,29,12,47
111,36300,1070,35296,20745,13072,526,23,46,52
112,34325,565,33764,30713,2314,383,17,0,112
113,36168,1912,34245,14600,17766,818,21,4,211
114,35070,1355,33720,27723,4891,437,59,11,119
115,32161,654,31498,26678,3859,303,6,19,0
116,32363,1088,31264,21538,8620,579,38,17,0
117,34172,2364,31756,23554,6430,549,85,29,146
118,34071,2201,31835,28672,2144,326,7,0,56
119,34424,1133,33269,26352,5712,286,32,61,96
120,36018,2451,33600,30028,3002,293,15,0,63
121,32669,1337,31326,14198,15886,186,11,0,319
122,31931,1487,30381,14877,14493,134,32,0,25
123,32905,2332,30632,27078,3077,135,4,4,18
124,34558,2731,31838,24897,5384,369,24,0,73
