district,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_ASI24,CVAP_AMI24,CVAP_NHP24,CVAP_2OM24
1,34803,904,33894,31818,444,202,68,24,137
2,32856,1069,31786,27911,2846,227,185,1,14
3,34993,1305,33689,29248,2768,558,20,0,123
4,34036,602,33416,31278,1284,232,46,30,57
5,31493,1546,29991,25966,3119,156,72,4,158
6,33062,827,32224,28010,2474,290,427,6,101
7,29403,474,28937,22793,5125,89,91,19,59
8,32376,822,31562,24642,5876,140,61,10,148
9,32954,1122,31820,25531,4717,230,36,6,29
10,30940,1371,29571,24435,3432,538,164,0,8
11,32634,675,31962,24498,6590,128,41,4,19
12,31733,1116,30630,15193,15017,48,10,17,9
13,30961,777,30175,24638,4715,283,0,0,32
14,33444,663,32789,23287,8843,137,42,10,99
15,29458,2670,26843,14248,10257,1264,55,0,202
16,32181,1974,30211,23061,5577,418,22,15,63
17,35335,942,34413,31225,1748,272,52,11,25
18,34028,2438,31600,26714,3242,544,35,7,139
19,29710,2710,26976,20771,4403,485,127,3,6
20,29511,1941,27607,22915,3091,805,30,28,102
21,31583,2280,29273,24365,2227,1769,76,37,211
22,32246,1597,30586,26302,2423,693,62,11,19
23,30643,2015,28646,17419,9670,482,78,33,49
24,32853,1957,30917,24949,4531,757,56,20,89
25,28691,2341,26343,12964,12043,167,155,0,93
26,30206,2338,27888,22191,3801,1076,26,14,63
27,33160,2220,30945,23202,6101,476,77,8,183
28,32795,2400,30376,22343,6389,711,39,0,0
29,35015,912,34129,27398,5761,50,93,9,58
30,31497,1078,30386,24462,4985,60,20,0,190
31,29366,1928,27423,11460,14698,767,14,1,122
32,32679,1292,31386,23402,6838,420,20,55,31
33,32427,1260,31206,24206,5876,547,32,35,12
34,32319,2174,30144,22046,6324,1197,2,0,19
35,33905,1368,32548,26889,3622,761,0,0,198
36,29033,2019,26977,20306,5881,443,29,0,66
37,30566,1610,28940,21606,5687,1067,38,3,15
38,34606,1330,33305,30304,1767,485,47,4,76
39,31125,1520,29597,24250,4549,51,6,13,53
40,31017,1193,29830,20898,8345,161,37,0,23
41,30315,603,29714,13503,15622,71,3,4,69
42,29302,369,28925,19639,7906,90,74,26,84
43,34602,742,33850,24621,7998,108,422,5,41
44,33671,2364,31305,25564,3785,1133,27,5,144
45,32217,841,31382,21844,8725,228,29,0,70
46,32206,1702,30533,22442,6634,469,107,1,57
47,32923,1284,31666,27166,3331,316,78,13,27
48,31501,1111,30370,24011,4860,667,21,1,123
49,26924,877,26028,11358,13296,313,154,13,88
50,31985,739,31235,14683,15456,200,29,46,31
51,29040,836,28213,10134,17218,212,30,43,42
52,33517,1480,32046,22363,8775,281,67,10,126
53,31829,712,31083,22450,7907,79,57,0,107
54,32417,532,31885,14453,15597,145,562,0,184
55,29963,399,29583,16364,11703,78,554,0,26
56,38533,1644,36889,32456,2731,761,65,28,168
57,30620,423,30184,14770,14388,13,119,8,17
58,36942,1180,35734,27447,7185,492,17,4,41
59,31653,732,30925,12234,18027,167,14,32,38
60,32341,468,31868,20296,10604,308,94,0,15
61,33506,2121,31609,27469,3133,283,49,0,17
62,29729,542,29190,13011,15766,49,9,0,29
63,27285,974,26311,17875,7486,570,34,6,24
64,32600,548,32043,16210,15006,152,67,4,25
65,31918,565,31377,23688,6807,221,57,17,22
66,30700,2202,28478,23854,2782,1253,0,0,66
67,31574,1118,30460,18997,9560,718,46,89,79
68,36633,1978,34589,31740,1876,260,70,0,190
69,30718,839,29837,24039,4395,884,71,3,63
70,37217,2076,35156,10235,22895,576,88,9,101
71,29809,687,29139,22944,4821,830,33,0,22
72,33550,1546,32006,21072,8982,988,0,7,215
73,33491,864,32612,10556,20845,211,50,40,176
74,33872,743,33144,13261,18413,648,11,60,121
75,25785,921,24852,18735,4950,520,12,13,101
76,30008,1345,28649,6383,20987,275,4,16,257
77,30599,1642,28960,9852,18281,380,4,4,183
78,32070,2612,29437,16302,10662,1411,47,25,210
79,28516,1629,26890,8492,16864,893,16,5,120
