district,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_ASI24,CVAP_AMI24,CVAP_NHP24,CVAP_2OM24
1,576573,29736,546833,424902,99144,9134,733,224,1315
2,560904,24043,536863,365260,148442,9200,568,138,2157
3,575847,18770,557087,441118,95501,4272,1440,177,1104
4,556238,34340,521897,393929,100684,11863,832,236,1362
5,566589,21438,545139,387657,134780,7934,1272,212,1416
6,574972,18992,555993,264663,270314,6476,970,424,1954
7,598506,17940,580558,414541,146607,5099,1959,321,1212
