district,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_ASI24,CVAP_AMI24,CVAP_NHP24,CVAP_2OM24
1,34803,904,33894,31818,444,202,68,24,137
2,32856,1069,31786,27911,2846,227,185,1,14
3,34993,1305,33689,29248,2768,558,20,0,123
4,34036,602,33416,31278,1284,232,46,30,57
5,31494,1546,29992,25966,3119,156,72,4,158
6,33062,827,32224,28010,2474,290,427,6,101
7,29403,474,28937,22793,5125,89,91,19,59
8,32376,822,31562,24642,5876,140,61,10,148
9,32954,1122,31820,25531,4717,230,36,6,29
10,30940,1372,29571,24435,3432,538,164,0,8
11,32634,675,31962,24498,6590,128,41,4,19
12,31733,1116,30630,15193,15017,48,10,17,9
13,30961,777,30175,24638,4715,283,0,0,32
14,33444,663,32789,23287,8843,137,42,10,99
15,29442,2669,26828,14239,10253,1262,55,0,202
16,32181,1974,30211,23061,5577,418,22,15,63
17,35335,942,34413,31225,1748,272,52,11,25
18,34028,2438,31600,26714,3242,544,35,7,139
19,29728,2712,26992,20778,4410,485,127,3,6
20,29511,1941,27607,22915,3091,805,30,28,102
21,31583,2280,29273,24365,2227,1769,76,37,211
22,32246,1597,30586,26302,2423,693,62,11,19
23,30624,2012,28629,17412,9663,482,78,33,49
24,32848,1956,30912,24946,4530,757,56,20,89
25,28696,2342,26349,12967,12044,167,155,0,93
26,30187,2338,27869,22168,3807,1076,26,14,63
27,33160,2220,30945,23202,6101,476,77,8,183
28,32795,2400,30375,22343,6389,711,39,0,0
29,35014,912,34127,27398,5761,50,93,9,58
30,31496,1078,30386,24462,4985,60,20,0,190
31,29361,1928,27418,11457,14696,767,14,1,122
32,32679,1292,31386,23402,6838,420,20,55,31
33,32432,1260,31211,24209,5878,547,32,35,12
34,32319,2174,30144,22046,6324,1197,2,0,19
35,33905,1368,32548,26889,3622,761,0,0,198
36,29033,2019,26977,20306,5881,443,29,0,66
37,30566,1610,28940,21606,5687,1067,38,3,15
38,34606,1330,33305,30304,1767,485,47,4,76
39,31123,1520,29596,24248,4549,51,6,13,53
40,31019,1193,29832,20900,8345,161,37,0,23
41,30320,603,29719,13507,15623,71,3,4,69
42,29299,369,28922,19637,7906,90,74,26,84
43,34602,742,33849,24617,8002,108,421,5,41
44,33696,2364,31331,25591,3779,1133,28,5,144
45,32227,841,31392,21850,8727,228,29,0,70
46,32206,1702,30533,22442,6634,469,107,1,57
47,32923,1284,31666,27166,3331,316,78,13,27
48,31501,1111,30370,24011,4860,667,21,1,123
49,26907,877,26011,11349,13289,313,154,13,88
50,31985,739,31235,14683,15456,200,29,46,31
51,29040,836,28213,10134,17218,212,30,43,42
52,33378,2184,31200,15341,14282,453,107,9,136
53,31829,712,31083,22450,7907,79,57,0,107
54,32390,523,31868,14593,15475,145,551,0,183
55,30669,401,30276,14194,14610,20,561,7,37
56,38533,1644,36889,32455,2731,761,65,28,168
57,29707,445,29256,16298,12359,110,88,5,11
58,36943,1180,35735,27448,7186,492,17,4,41
59,31842,735,31114,12767,17169,155,45,28,34
60,32341,468,31868,20296,10605,308,94,0,15
61,33506,2121,31609,27469,3133,283,49,0,17
62,29726,542,29186,13010,15764,49,9,0,29
63,27273,973,26300,17869,7481,570,34,6,24
64,32600,548,32043,16210,15006,152,67,4,25
65,31921,565,31381,23689,6809,221,57,17,22
66,30700,2202,28478,23854,2782,1253,0,0,66
67,31574,1118,30460,18997,9560,718,46,89,79
68,36633,1978,34589,31740,1876,260,70,0,190
69,30719,839,29838,24040,4395,884,71,3,63
70,37356,1372,36003,17258,17388,403,48,10,91
71,29809,687,29139,22944,4821,830,33,0,22
72,33569,1547,32022,21084,8986,988,0,7,215
73,33491,864,32612,10556,20845,211,50,40,176
74,33872,743,33144,13261,18413,648,11,60,121
75,25785,921,24852,18735,4950,521,12,13,101
76,30008,1345,28649,6383,20987,275,4,16,257
77,30599,1642,28960,9852,18281,380,4,4,183
78,32070,2612,29436,16302,10662,1411,47,25,210
79,28517,1629,26891,8492,16864,893,16,5,120
