statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
45,001,45001,Abbeville County,19494
45,003,45003,Aiken County,134101
45,005,45005,Allendale County,6226
45,007,45007,Anderson County,158866
45,009,45009,Bamberg County,10587
45,011,45011,Barnwell County,15424
45,013,45013,Beaufort County,152622
45,015,45015,Berkeley County,181240
45,017,45017,Calhoun County,11532
45,019,45019,Charleston County,323493
45,021,45021,Cherokee County,42682
45,023,45023,Chester County,24784
45,025,45025,Chesterfield County,33107
45,027,45027,Clarendon County,25025
45,029,45029,Colleton County,29209
45,031,45031,Darlington County,48161
45,033,45033,Dillon County,20513
45,035,45035,Dorchester County,123035
45,037,45037,Edgefield County,22063
45,039,45039,Fairfield County,16840
45,041,45041,Florence County,102868
45,043,45043,Georgetown County,53173
45,045,45045,Greenville County,399041
45,047,45047,Greenwood County,52499
45,049,45049,Hampton County,14082
45,051,45051,Horry County,306273
45,053,45053,Jasper County,24053
45,055,45055,Kershaw County,51442
45,057,45057,Lancaster County,78758
45,059,45059,Laurens County,51975
45,061,45061,Lee County,12913
45,063,45063,Lexington County,224808
45,065,45065,McCormick County,8760
45,067,45067,Marion County,22036
45,069,45069,Marlboro County,20472
45,071,45071,Newberry County,29074
45,073,45073,Oconee County,63480
45,075,45075,Orangeburg County,64586
45,077,45077,Pickens County,106554
45,079,45079,Richland County,319140
45,081,45081,Saluda County,13929
45,083,45083,Spartanburg County,252285
45,085,45085,Sumter County,78659
45,087,45087,Union County,21047
45,089,45089,Williamsburg County,23889
45,091,45091,York County,214778
