district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,90286,86.14,6.18,3.3,0.29,1.01,0.03,0.27
2,District 2,89291,85.08,7.76,4.08,0.19,0.74,0.04,0.28
3,District 3,93799,84.83,8.26,2.51,0.58,0.93,0.02,0.14
4,District 4,84551,71.65,21.97,2.66,0.19,0.54,0.03,0.27
5,District 5,88260,83.49,7.39,5.17,0.12,1.1,0.02,0.25
6,District 6,83652,79.12,9.11,6.44,0.13,2.33,0.05,0.12
7,District 7,81418,51.73,35.62,7.89,0.21,1.13,0.04,0.2
8,District 8,90268,75.46,13.22,5.9,0.24,2.17,0.03,0.41
9,District 9,88983,70.96,21.69,3.54,0.35,0.97,0.06,0.14
10,District 10,87307,72.98,21.21,3.19,0.02,1.08,0.02,0.1
11,District 11,86800,64.44,25.11,5.62,0.13,2.83,0.01,0.22
12,District 12,87191,68.74,20.08,6.22,0.03,3.19,0.04,0.26
13,District 13,88965,75.98,15.8,3.46,0.12,1.55,0.08,0.36
14,District 14,84839,79.05,14.73,3.11,0.21,0.36,0.04,0.3
15,District 15,89732,75.78,15.53,4.08,0.14,1.58,0.01,0.24
16,District 16,89129,75.9,10.72,7.29,0.06,3.78,0.02,0.29
17,District 17,89741,54.27,39.38,2.76,0.68,0.61,0.02,0.21
18,District 18,86627,76.28,17.17,2.96,0.08,1.67,0.0,0.27
19,District 19,82927,29.16,64.17,3.82,0.07,0.96,0.11,0.51
20,District 20,87044,74.52,17.59,3.4,0.07,1.64,0.13,0.19
21,District 21,83563,40.64,50.91,3.76,0.09,1.58,0.04,0.21
22,District 22,83375,44.22,45.97,4.25,0.04,2.9,0.02,0.58
23,District 23,87339,76.82,15.23,4.41,0.14,1.28,0.02,0.29
24,District 24,91674,68.65,23.51,4.59,0.12,0.92,0.03,0.1
25,District 25,87087,67.06,25.0,5.01,0.06,0.65,0.02,0.21
26,District 26,85119,65.14,25.86,4.12,0.11,1.95,0.01,0.38
27,District 27,89989,70.06,25.4,2.3,0.15,0.32,0.01,0.23
28,District 28,92630,83.59,10.35,3.32,0.17,1.0,0.2,0.11
29,District 29,85384,48.6,46.12,1.62,0.85,0.55,0.01,0.25
30,District 30,84115,48.44,46.79,1.4,0.7,0.27,0.02,0.1
31,District 31,79151,61.04,33.41,2.6,0.17,1.3,0.03,0.07
32,District 32,84106,47.19,48.97,1.59,0.17,0.37,0.01,0.18
33,District 33,98171,76.85,14.22,4.68,0.14,1.28,0.02,0.36
34,District 34,106085,88.8,4.38,3.93,0.12,0.9,0.06,0.28
35,District 35,91079,51.58,36.92,6.35,0.18,1.7,0.12,0.49
36,District 36,81862,48.78,46.15,1.99,0.13,0.88,0.16,0.11
37,District 37,81673,71.24,20.27,4.48,0.26,1.77,0.05,0.16
38,District 38,80851,69.44,20.59,5.01,0.13,1.81,0.03,0.44
39,District 39,86583,52.96,37.29,5.12,0.29,1.47,0.03,0.36
40,District 40,81158,47.08,48.48,1.72,0.15,0.54,0.08,0.47
41,District 41,82138,69.55,21.55,4.57,0.38,1.63,0.02,0.31
42,District 42,81933,41.58,48.49,5.42,0.1,2.11,0.03,0.37
43,District 43,94550,81.52,11.85,3.82,0.05,1.06,0.03,0.14
44,District 44,82518,75.64,14.82,4.59,0.17,2.6,0.11,0.31
45,District 45,82602,48.45,43.43,4.46,0.1,0.44,0.01,0.49
46,District 46,94084,85.16,6.09,6.76,0.02,0.77,0.0,0.09
