district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,739185,49907,689305,522536,131754,909,10970,237,2632,9569,4149,5221,1402,6440,16179,142715,579204,29757,549475,427296,99423,740,9165,224,1318,4136,3343,2916,1000,5065,12079,104549
2,728843,42642,686190,453712,195819,714,12153,150,3435,10479,4614,3776,1105,6440,15923,207454,560812,24062,536749,365282,148292,568,9196,134,2158,4378,3725,2055,916,5205,11250,153605
3,732690,35063,697693,541858,123445,1788,5655,282,1573,10130,8986,3280,779,11563,8930,134308,575836,18767,557078,441137,95479,1440,4272,177,1104,4125,6702,2033,657,8794,6306,100237
4,727505,61492,665947,490811,132132,1083,15194,214,2143,11509,7493,4659,619,9182,19865,144317,556246,34342,521924,393893,100744,832,11863,231,1362,4118,5866,2457,500,7201,14318,105396
5,737256,36245,701030,487859,175786,1631,11136,278,2214,12061,5328,3633,1242,8203,14761,189084,566262,21441,544785,387692,134392,1272,7935,217,1416,5128,4222,1737,942,6438,9673,140452
6,717348,34022,683293,306464,347815,1220,7989,599,3059,9106,3281,2494,1356,5851,10502,358229,572728,18950,553766,262229,270498,963,6450,428,1950,5656,2876,1562,1033,4878,8015,277180
7,745438,31212,714224,490809,194086,2572,6348,313,2190,9395,4540,2612,1297,8429,8960,204779,598541,17940,580593,414541,146644,1959,5097,321,1212,4533,3745,1475,988,6708,6572,152163
