district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,108638,4541,104114,91555,6680,313,1193,35,282,1535,1768,650,85,2166,1843,8303,90286,2980,87320,77768,5577,265,908,25,246,616,1380,442,78,1728,1350,6270
2,114995,7936,107027,94126,8616,150,739,131,277,1854,611,477,31,818,1217,10500,89291,3641,85615,75965,6932,171,661,34,248,726,502,342,26,719,1005,7691
3,120296,4200,116117,99241,10159,763,1444,4,394,1057,2247,540,227,3237,1980,11455,93799,2354,91459,79574,7750,547,877,16,131,486,1516,369,165,2228,1240,8392
4,110245,4350,105874,76566,24385,228,539,22,238,1663,2089,127,58,2375,670,26094,84551,2251,82286,60582,18575,157,455,29,225,697,1471,97,26,1654,558,19307
5,113052,7408,105697,91429,8733,155,1166,10,286,1324,1963,385,30,2149,1530,10100,88260,4560,83721,73692,6524,106,968,20,217,371,1517,183,21,1645,1152,6927
6,107555,9210,98326,82103,10003,187,2500,35,282,1212,1666,857,37,1896,3377,11241,83652,5387,78233,66183,7624,111,1949,41,102,536,1368,593,42,1523,2552,8143
7,106974,12500,94471,50331,37292,212,1015,26,213,3071,1164,452,227,1573,1481,40573,81418,6424,74998,42119,29001,168,919,32,159,844,1022,246,199,1362,1165,30070
8,115630,8058,107604,84323,15515,286,2697,26,428,1834,1557,887,15,1856,3533,17386,90268,5330,84972,68112,11935,216,1957,28,369,802,1103,399,9,1326,2328,12791
9,115766,6476,109252,77750,25687,301,984,62,239,2276,1485,447,113,1901,1429,28065,88983,3153,85816,63146,19303,313,862,51,121,579,1171,130,97,1582,1000,19987
10,112763,5429,107313,78756,25184,50,1288,14,131,637,539,580,150,739,1864,26003,87307,2786,84502,63719,18522,16,941,18,90,292,448,301,154,618,1238,18981
