district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,579204,73.77,17.17,5.14,0.13,1.58,0.04,0.23
2,District 2,560812,65.13,26.44,4.29,0.1,1.64,0.02,0.38
3,District 3,575836,76.61,16.58,3.26,0.25,0.74,0.03,0.19
4,District 4,556246,70.81,18.11,6.17,0.15,2.13,0.04,0.24
5,District 5,566262,68.47,23.73,3.79,0.22,1.4,0.04,0.25
6,District 6,572728,45.79,47.23,3.31,0.17,1.13,0.07,0.34
7,District 7,598541,69.26,24.5,3.0,0.33,0.85,0.05,0.2
