district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,34366,91.28,1.32,2.65,0.19,0.58,0.07,0.39
2,District 2,32594,84.93,8.66,3.26,0.57,0.69,0.0,0.04
3,District 3,34975,83.6,7.93,3.71,0.06,1.61,0.0,0.36
4,District 4,33891,92.2,3.48,1.79,0.14,0.66,0.09,0.16
5,District 5,32931,81.95,10.16,5.09,0.34,0.63,0.01,0.48
6,District 6,33927,84.56,7.58,2.7,1.31,0.93,0.01,0.29
7,District 7,29728,77.49,17.49,1.58,0.32,0.3,0.06,0.2
8,District 8,31911,76.27,18.04,2.57,0.15,0.38,0.03,0.5
9,District 9,32684,77.38,14.33,3.23,0.08,0.74,0.02,0.06
10,District 10,31835,80.23,10.22,4.51,0.87,1.58,0.0,0.01
11,District 11,32193,74.81,20.54,2.08,0.13,0.4,0.01,0.06
12,District 12,31074,47.35,47.49,3.56,0.03,0.14,0.05,0.03
13,District 13,31602,79.45,15.72,2.48,0.0,0.91,0.0,0.1
14,District 14,31196,70.07,26.28,2.05,0.14,0.3,0.03,0.32
15,District 15,29814,48.58,33.55,9.39,0.07,4.41,0.0,0.6
16,District 16,30908,72.07,17.17,6.49,0.07,0.79,0.05,0.2
17,District 17,34612,88.19,5.06,2.72,0.15,0.77,0.03,0.09
18,District 18,33340,79.55,9.18,6.87,0.16,1.54,0.03,0.39
19,District 19,29938,72.79,13.05,8.96,0.19,1.66,0.02,0.02
20,District 20,31508,76.87,10.82,6.88,0.04,2.48,0.08,0.39
21,District 21,31512,77.15,6.55,7.34,0.24,5.68,0.12,0.63
22,District 22,32475,83.27,5.72,4.64,0.41,2.46,0.03,0.09
23,District 23,29313,49.31,38.01,6.84,0.29,1.25,0.11,0.15
24,District 24,34077,77.6,12.23,6.09,0.02,2.35,0.06,0.23
25,District 25,27729,40.25,46.29,7.71,0.15,0.77,0.0,0.35
26,District 26,30988,73.25,12.45,8.2,0.08,3.55,0.05,0.2
27,District 27,33670,70.83,17.64,6.69,0.23,1.47,0.02,0.55
28,District 28,32161,69.54,18.42,7.06,0.12,2.07,0.0,0.0
29,District 29,34528,79.13,15.49,2.96,0.26,0.15,0.01,0.16
30,District 30,31222,77.99,15.51,3.43,0.06,0.19,0.0,0.61
31,District 31,30662,37.89,51.47,6.24,0.06,2.58,0.0,0.43
32,District 32,31963,71.36,20.89,4.21,0.07,1.28,0.21,0.1
33,District 33,32258,76.41,16.25,3.78,0.08,1.78,0.11,0.01
34,District 34,32600,68.58,19.67,6.37,0.02,3.67,0.0,0.06
35,District 35,32951,79.09,10.83,3.89,0.0,2.59,0.0,0.61
36,District 36,29487,69.68,20.88,6.9,0.09,1.53,0.0,0.21
37,District 37,31461,71.6,17.15,5.56,0.15,3.6,0.0,0.03
38,District 38,33269,88.41,4.58,3.67,0.11,1.18,0.01,0.25
39,District 39,31626,78.94,13.6,4.82,0.02,0.15,0.04,0.17
40,District 40,31243,67.56,26.71,3.85,0.12,0.52,0.0,0.07
41,District 41,32397,42.3,53.59,1.91,0.01,0.2,0.01,0.23
42,District 42,31219,66.6,27.31,1.24,0.24,0.42,0.08,0.27
43,District 43,30029,76.86,17.41,2.34,1.51,0.35,0.02,0.08
44,District 44,34830,75.83,11.5,6.97,0.08,3.29,0.01,0.41
45,District 45,31259,67.6,27.33,2.48,0.09,0.71,0.0,0.26
46,District 46,32059,70.46,19.99,5.04,0.24,1.51,0.0,0.16
47,District 47,32502,83.34,9.27,3.91,0.25,0.9,0.04,0.12
48,District 48,31998,77.04,14.04,3.84,0.1,2.13,0.0,0.38
49,District 49,30217,40.63,51.34,2.94,0.47,1.03,0.05,0.33
50,District 50,31804,45.58,48.58,2.36,0.09,0.62,0.14,0.09
51,District 51,29049,34.64,59.47,3.05,0.1,0.73,0.15,0.14
52,District 52,33654,66.75,26.22,4.37,0.2,0.84,0.03,0.38
53,District 53,31614,70.46,24.84,2.26,0.19,0.25,0.0,0.31
54,District 54,30598,43.13,49.74,1.74,1.71,0.47,0.0,0.6
55,District 55,29573,53.54,40.44,1.08,2.01,0.03,0.0,0.08
56,District 56,37926,83.85,7.39,4.06,0.13,2.12,0.07,0.51
57,District 57,31014,48.29,46.89,1.37,0.38,0.04,0.03,0.05
58,District 58,34839,73.54,19.8,3.3,0.05,1.42,0.01,0.11
59,District 59,30732,36.24,59.49,2.24,0.05,0.29,0.1,0.09
60,District 60,31090,63.04,32.62,1.4,0.3,0.84,0.0,0.05
61,District 61,35986,82.2,9.38,5.91,0.13,0.83,0.0,0.04
62,District 62,31293,43.89,52.31,1.74,0.02,0.15,0.0,0.09
63,District 63,29494,66.65,26.22,3.6,0.12,2.35,0.02,0.11
64,District 64,33060,49.77,45.93,1.67,0.2,0.47,0.01,0.08
65,District 65,31800,75.36,20.81,1.76,0.18,0.69,0.05,0.07
66,District 66,29914,78.04,9.11,6.69,0.0,4.11,0.0,0.22
67,District 67,31093,60.74,29.73,3.42,0.15,2.3,0.29,0.25
68,District 68,36912,86.69,5.13,5.39,0.19,0.65,0.0,0.54
69,District 69,28360,78.67,14.5,2.84,0.18,2.95,0.01,0.2
70,District 70,32023,24.65,66.34,4.61,0.22,1.11,0.0,0.14
71,District 71,29739,77.56,15.81,2.34,0.11,2.78,0.0,0.09
72,District 72,33746,62.73,27.01,4.48,0.0,2.95,0.02,0.67
73,District 73,32376,32.5,60.82,2.44,0.16,0.7,0.13,0.54
74,District 74,33876,39.25,54.18,2.37,0.03,1.92,0.17,0.31
75,District 75,31254,69.38,17.96,6.51,0.19,2.38,0.13,0.45
76,District 76,31885,20.49,70.93,4.54,0.02,0.85,0.05,0.88
77,District 77,31780,32.62,59.74,5.08,0.01,1.21,0.01,0.59
78,District 78,31508,49.87,36.29,6.5,0.05,4.43,0.02,0.64
79,District 79,28025,30.04,58.59,5.96,0.06,3.17,0.02,0.44
80,District 80,30456,88.71,4.52,3.29,0.02,1.76,0.0,0.02
81,District 81,33421,79.69,11.35,4.73,0.16,1.27,0.04,0.24
82,District 82,35119,43.04,48.82,4.96,0.17,0.84,0.0,0.21
83,District 83,32332,76.87,14.52,4.84,0.07,1.19,0.06,0.0
84,District 84,29577,68.53,23.4,5.13,0.08,0.49,0.0,0.26
85,District 85,32414,79.74,12.82,2.74,0.2,1.56,0.0,0.55
86,District 86,31583,68.64,25.43,3.32,0.06,0.23,0.03,0.75
87,District 87,34718,83.07,9.89,4.16,0.0,1.77,0.01,0.12
88,District 88,30479,73.36,19.51,3.8,0.12,1.15,0.02,0.42
89,District 89,31295,69.8,19.84,4.76,0.04,1.9,0.03,0.47
90,District 90,30358,37.74,58.48,1.11,0.13,0.5,0.05,0.17
91,District 91,30820,44.54,50.86,2.02,0.26,0.54,0.03,0.26
92,District 92,31128,66.47,21.24,6.18,0.04,3.43,0.05,0.29
93,District 93,31503,44.4,51.16,2.47,0.02,0.35,0.07,0.15
94,District 94,31246,73.24,18.17,5.53,0.13,1.57,0.02,0.39
95,District 95,32386,39.1,56.98,1.68,0.34,0.52,0.01,0.08
96,District 96,31430,76.95,14.47,5.47,0.13,0.8,0.0,0.12
97,District 97,32202,69.22,22.53,3.07,0.42,0.66,0.08,0.44
98,District 98,29854,61.44,24.08,6.38,0.04,3.8,0.0,0.27
99,District 99,32337,81.77,8.19,4.19,0.21,2.8,0.27,0.28
100,District 100,33011,61.52,30.22,4.86,0.5,1.18,0.07,0.04
101,District 101,32200,38.2,57.92,0.88,0.14,0.31,0.01,0.31
102,District 102,34407,53.22,35.83,4.19,0.65,1.91,0.04,0.63
103,District 103,32224,49.47,44.96,3.35,0.32,0.97,0.01,0.13
104,District 104,38288,84.08,11.0,2.67,0.2,0.53,0.01,0.02
105,District 105,34040,77.17,15.78,4.14,0.27,0.8,0.44,0.25
106,District 106,41459,91.29,3.29,1.52,0.15,1.64,0.11,0.19
107,District 107,33437,76.14,13.41,5.78,0.09,1.22,0.06,0.4
108,District 108,35225,83.03,12.36,3.07,0.0,0.19,0.04,0.05
109,District 109,33124,39.92,50.83,5.29,0.3,1.46,0.07,0.44
110,District 110,33100,88.26,5.9,3.06,0.09,1.41,0.03,0.14
111,District 111,37103,57.01,36.13,2.87,0.06,1.49,0.12,0.14
112,District 112,34348,89.11,7.22,1.65,0.05,1.06,0.0,0.33
113,District 113,29699,40.37,50.59,4.61,0.07,1.72,0.01,0.68
114,District 114,34425,79.26,13.69,3.91,0.17,1.23,0.03,0.35
115,District 115,33154,82.83,12.48,1.96,0.02,0.9,0.06,0.0
116,District 116,32344,66.68,26.18,3.37,0.12,1.79,0.05,0.0
117,District 117,33409,70.41,18.29,6.49,0.31,1.45,0.1,0.44
118,District 118,34500,83.89,6.29,6.33,0.02,0.92,0.0,0.16
119,District 119,34305,76.32,16.89,3.37,0.1,0.81,0.18,0.28
120,District 120,35277,84.89,7.51,6.81,0.05,0.84,0.0,0.26
121,District 121,33495,42.25,50.1,4.13,0.02,0.5,0.0,0.83
122,District 122,31973,46.51,45.47,4.65,0.1,0.42,0.0,0.08
123,District 123,33261,81.68,9.54,7.21,0.01,0.41,0.01,0.05
124,District 124,34414,72.52,15.17,7.81,0.07,1.14,0.0,0.21
