priority_tier,county,source_result_key,source_norm,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,score_gap_1_2
manual_medium,Florence,Florence - Florence 11,FLORENCE - FLORENCE 11,1,Florence - Florence Ward 11,Florence - Florence Ward 11,0.8980,Florence - Florence Ward 1,0.8750,Florence - West Florence 1,0.8750,0.0230
manual_medium,Florence,Florence - Florence 12,FLORENCE - FLORENCE 12,1,Florence - Florence Ward 12,Florence - Florence Ward 12,0.8980,Florence - Florence Ward 1,0.8750,Florence - Florence Ward 2,0.8750,0.0230
manual_medium,Florence,Florence - Florence 2,FLORENCE - FLORENCE 2,1,Florence - Florence Ward 2,Florence - Florence Ward 2,0.8936,Florence - West Florence 2,0.8936,Florence - Florence Ward 12,0.8750,0.0000
manual_medium,Florence,Florence - Florence 3,FLORENCE - FLORENCE 3,1,Florence - Florence Ward 3,Florence - Florence Ward 3,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 4,FLORENCE - FLORENCE 4,1,Florence - Florence Ward 4,Florence - Florence Ward 4,0.8936,Florence - Florence Ward 14,0.8750,Florence - Florence Ward 1,0.8511,0.0186
manual_medium,Florence,Florence - Florence 5,FLORENCE - FLORENCE 5,1,Florence - Florence Ward 5,Florence - Florence Ward 5,0.8936,Florence - Florence Ward 15,0.8750,Florence - Florence Ward 1,0.8511,0.0186
manual_medium,Florence,Florence - Florence 6,FLORENCE - FLORENCE 6,1,Florence - Florence Ward 6,Florence - Florence Ward 6,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 7,FLORENCE - FLORENCE 7,1,Florence - Florence Ward 7,Florence - Florence Ward 7,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 8,FLORENCE - FLORENCE 8,1,Florence - Florence Ward 8,Florence - Florence Ward 8,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 9,FLORENCE - FLORENCE 9,1,Florence - Florence Ward 9,Florence - Florence Ward 9,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence No. 1,FLORENCE - FLORENCE NO. 1,1,Florence - Florence Ward 1,Florence - Florence Ward 1,0.8627,Florence - Florence Ward 10,0.8462,Florence - Florence Ward 11,0.8462,0.0165
manual_medium,Florence,Florence - Florence No. 10,FLORENCE - FLORENCE NO. 10,1,Florence - Florence Ward 10,Florence - Florence Ward 10,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 11,0.8302,0.0217
manual_medium,Florence,Florence - Florence No. 11,FLORENCE - FLORENCE NO. 11,1,Florence - Florence Ward 11,Florence - Florence Ward 11,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 10,0.8302,0.0217
manual_medium,Florence,Florence - Florence No. 12,FLORENCE - FLORENCE NO. 12,1,Florence - Florence Ward 12,Florence - Florence Ward 12,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 2,0.8462,0.0217
manual_medium,Florence,Florence - Florence No. 14,FLORENCE - FLORENCE NO. 14,1,Florence - Florence Ward 14,Florence - Florence Ward 14,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 4,0.8462,0.0217
manual_medium,Florence,Florence - Florence No. 15,FLORENCE - FLORENCE NO. 15,1,Florence - Florence Ward 15,Florence - Florence Ward 15,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 5,0.8462,0.0217
manual_medium,Florence,Florence - Florence No. 2,FLORENCE - FLORENCE NO. 2,1,Florence - Florence Ward 2,Florence - Florence Ward 2,0.8627,Florence - Florence Ward 12,0.8462,Florence - Florence Ward 1,0.8235,0.0165
manual_medium,Florence,Florence - Florence No. 3,FLORENCE - FLORENCE NO. 3,1,Florence - Florence Ward 3,Florence - Florence Ward 3,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,0.0392
manual_medium,Florence,Florence - Florence No. 4,FLORENCE - FLORENCE NO. 4,1,Florence - Florence Ward 4,Florence - Florence Ward 4,0.8627,Florence - Florence Ward 14,0.8462,Florence - Florence Ward 1,0.8235,0.0165
manual_medium,Florence,Florence - Florence No. 5,FLORENCE - FLORENCE NO. 5,1,Florence - Florence Ward 5,Florence - Florence Ward 5,0.8627,Florence - Florence Ward 15,0.8462,Florence - Florence Ward 1,0.8235,0.0165
