source_county_fips,source_county_name,source_name,source_id,source_key_display,source_key_norm,source_area_m2,target_county_name,target_county_fips,target_precinct,target_key_display,target_key_norm,overlap_area_m2,share_of_source,share_rank
001,Abbeville,VTD 9,450019,Abbeville - VTD 9,ABBEVILLE - VTD 9,55301557.300168,Abbeville,001,Abbeville No. 4,Abbeville - Abbeville No. 4,ABBEVILLE - ABBEVILLE NO. 4,54731615.793123,0.989694,1
001,Abbeville,VTD 9,450019,Abbeville - VTD 9,ABBEVILLE - VTD 9,55301557.300168,Abbeville,001,Cold Springs,Abbeville - Cold Springs,ABBEVILLE - COLD SPRINGS,405893.643612,0.007340,2
001,Abbeville,VTD 9,450019,Abbeville - VTD 9,ABBEVILLE - VTD 9,55301557.300168,Abbeville,001,Antreville,Abbeville - Antreville,ABBEVILLE - ANTREVILLE,143877.065843,0.002602,3
001,Abbeville,VTD 12,4500112,Abbeville - VTD 12,ABBEVILLE - VTD 12,71965178.885151,Abbeville,001,Lebanon,Abbeville - Lebanon,ABBEVILLE - LEBANON,71828659.528859,0.998103,1
001,Abbeville,VTD 12,4500112,Abbeville - VTD 12,ABBEVILLE - VTD 12,71965178.885151,Abbeville,001,Abbeville No. 4,Abbeville - Abbeville No. 4,ABBEVILLE - ABBEVILLE NO. 4,125365.748928,0.001742,2
001,Abbeville,VTD 18,4500118,Abbeville - VTD 18,ABBEVILLE - VTD 18,67357697.538852,Abbeville,001,Calhoun Falls,Abbeville - Calhoun Falls,ABBEVILLE - CALHOUN FALLS,67357693.124302,1.000000,1
001,Abbeville,VTD 8,450018,Abbeville - VTD 8,ABBEVILLE - VTD 8,125460333.555828,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,125460021.193106,0.999998,1
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324044.676488,Abbeville,001,Antreville,Abbeville - Antreville,ABBEVILLE - ANTREVILLE,97762283.046073,0.994287,1
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324044.676488,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,486559.373881,0.004949,2
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324044.676488,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,75160.687840,0.000764,3
001,Abbeville,VTD 14,4500114,Abbeville - VTD 14,ABBEVILLE - VTD 14,53980438.899139,Abbeville,001,Abbeville No. 2,Abbeville - Abbeville No. 2,ABBEVILLE - ABBEVILLE NO. 2,53977076.795992,0.999938,1
001,Abbeville,VTD 10,4500110,Abbeville - VTD 10,ABBEVILLE - VTD 10,71736818.803871,Abbeville,001,Abbeville No. 1,Abbeville - Abbeville No. 1,ABBEVILLE - ABBEVILLE NO. 1,71729608.946725,0.999899,1
001,Abbeville,VTD 5,450015,Abbeville - VTD 5,ABBEVILLE - VTD 5,93553414.215537,Abbeville,001,Due West,Abbeville - Due West,ABBEVILLE - DUE WEST,92064399.171134,0.984084,1
