source_county_fips,source_county_name,source_name,source_id,source_key_display,source_key_norm,source_area_m2,target_county_name,target_county_fips,target_precinct,target_key_display,target_key_norm,overlap_area_m2,share_of_source,share_rank
053,Jasper,OAKATIE 2,45053000117,Jasper - OAKATIE 2,JASPER - OAKATIE 2,45470946.184847,Jasper,053,Okatie 2,JASPER - OKATIE 2,JASPER - OKATIE 2,43044915.731186,0.946647,1
053,Jasper,OAKATIE 2,45053000117,Jasper - OAKATIE 2,JASPER - OAKATIE 2,45470946.184847,Jasper,053,Sun City,JASPER - SUN CITY,JASPER - SUN CITY,2426030.417567,0.053353,2
053,Jasper,HARDEEVILLE 3,45053000116,Jasper - HARDEEVILLE 3,JASPER - HARDEEVILLE 3,44789918.660147,Jasper,053,Hardeeville 3,JASPER - HARDEEVILLE 3,JASPER - HARDEEVILLE 3,33328231.557358,0.744101,1
053,Jasper,HARDEEVILLE 3,45053000116,Jasper - HARDEEVILLE 3,JASPER - HARDEEVILLE 3,44789918.660147,Jasper,053,Margaritaville,JASPER - MARGARITAVILLE,JASPER - MARGARITAVILLE,11461687.102783,0.255899,2
015,Berkeley,Nexton,45015000097,Berkeley - Nexton,BERKELEY - NEXTON,5803740.983044,Berkeley,015,Nexton,BERKELEY - NEXTON,BERKELEY - NEXTON,5795314.929979,0.998548,1
015,Berkeley,Nexton,45015000097,Berkeley - Nexton,BERKELEY - NEXTON,5803740.983044,Berkeley,015,Tramway,BERKELEY - TRAMWAY,BERKELEY - TRAMWAY,7274.961884,0.001253,2
015,Berkeley,Boulder Bluff,45015000087,Berkeley - Boulder Bluff,BERKELEY - BOULDER BLUFF,2498949.131844,Berkeley,015,Boulder Bluff,BERKELEY - BOULDER BLUFF,BERKELEY - BOULDER BLUFF,2497866.872420,0.999567,1
015,Berkeley,Sedgefield 3,45015000100,Berkeley - Sedgefield 3,BERKELEY - SEDGEFIELD 3,659294.805542,Berkeley,015,Sedgefield 3,BERKELEY - SEDGEFIELD 3,BERKELEY - SEDGEFIELD 3,658766.223953,0.999198,1
015,Berkeley,Sedgefield 3,45015000100,Berkeley - Sedgefield 3,BERKELEY - SEDGEFIELD 3,659294.805542,Berkeley,015,Howe Hall 1,BERKELEY - HOWE HALL 1,BERKELEY - HOWE HALL 1,505.336528,0.000766,2
015,Berkeley,Pomflant,45015000099,Berkeley - Pomflant,BERKELEY - POMFLANT,24814903.990674,Berkeley,015,Pomflant,BERKELEY - POMFLANT,BERKELEY - POMFLANT,24794194.073918,0.999165,1
015,Berkeley,Cobblestone,45015000092,Berkeley - Cobblestone,BERKELEY - COBBLESTONE,2729718.145162,Berkeley,015,Cobblestone,BERKELEY - COBBLESTONE,BERKELEY - COBBLESTONE,2729712.597563,0.999998,1
