scope,precinct_norm,district,weight
congressional,DORCHESTER - BEECH HILL 2,1,0.177185309520
congressional,DORCHESTER - BEECH HILL 2,6,0.822814690480
congressional,SPARTANBURG - BEECH SPRINGS INTERMEDIATE,4,1.000000000000
congressional,GREENVILLE - BELLE MEADE,4,1.000000000000
congressional,COLLETON - BELLS,6,1.000000000000
congressional,GREENVILLE - BELLS CROSSING,3,0.002538152021
congressional,GREENVILLE - BELLS CROSSING,4,0.997461847979
congressional,GREENVILLE - BELMONT,4,1.000000000000
congressional,ANDERSON - BELTON,3,1.000000000000
congressional,ANDERSON - BELTON ANNEX,3,1.000000000000
congressional,SPARTANBURG - BEN AVON METHODIST,4,1.000000000000
congressional,GREENVILLE - BEREA,4,1.000000000000
congressional,COLLETON - BEREA-SMOAKS,6,1.000000000000
congressional,DILLON - BERMUDA,7,1.000000000000
congressional,NEWBERRY - BETH - EDEN,3,1.000000000000
congressional,MCCORMICK - BETHANY,3,1.000000000000
congressional,YORK - BETHANY,5,1.000000000000
congressional,SPARTANBURG - BETHANY WESLEYAN,4,1.000000000000
congressional,CALHOUN - BETHEL,6,1.000000000000
congressional,DARLINGTON - BETHEL,7,1.000000000000
congressional,GEORGETOWN - BETHEL,7,1.000000000000
congressional,ORANGEBURG - BETHEL,6,1.000000000000
congressional,YORK - BETHEL,5,1.000000000000
congressional,YORK - BETHEL SCHOOL,5,1.000000000000
congressional,BERKELEY - BETHERA,1,1.000000000000
congressional,KERSHAW - BETHUNE,5,0.999999982222
congressional,KERSHAW - BETHUNE,7,0.000000017778
congressional,LEXINGTON - BEULAH CHURCH,2,1.000000000000
congressional,BERKELEY - BEVERLY HILL,1,1.000000000000
congressional,GREENWOOD - BILTMORE PINES,3,1.000000000000
congressional,SUMTER - BIRNIE,5,0.767610367380
congressional,SUMTER - BIRNIE,6,0.232389632620
congressional,ANDERSON - BISHOPS BRANCH,3,1.000000000000
congressional,LEE - BISHOPVILLE NO. 1,5,1.000000000000
congressional,LEE - BISHOPVILLE NO. 2,5,1.000000000000
congressional,LEE - BISHOPVILLE NO. 3,5,1.000000000000
congressional,LEE - BISHOPVILLE NO. 4,5,1.000000000000
congressional,CHESTERFIELD - BLACK CREEK,7,1.000000000000
congressional,HAMPTON - BLACK CREEK,6,1.000000000000
congressional,DARLINGTON - BLACK CREEK-CLYDE,5,0.000003276070
congressional,DARLINGTON - BLACK CREEK-CLYDE,7,0.999996723930
congressional,GEORGETOWN - BLACK RIVER,7,1.000000000000
congressional,WILLIAMSBURG - BLACK RIVER,6,1.000000000000
congressional,UNION - BLACK ROCK,5,1.000000000000
congressional,CHEROKEE - BLACKSBURG WARD NO. 1,5,1.000000000000
congressional,CHEROKEE - BLACKSBURG WARD NO. 2,5,1.000000000000
congressional,CHESTER - BLACKSTOCK,5,1.000000000000
congressional,FAIRFIELD - BLACKSTOCK,5,1.000000000000
congressional,SPARTANBURG - BLACKSTOCK,4,1.000000000000
congressional,BARNWELL - BLACKVILLE 1,2,1.000000000000
congressional,BARNWELL - BLACKVILLE 2,2,0.999999746060
congressional,BARNWELL - BLACKVILLE 2,6,0.000000253940
congressional,FAIRFIELD - BLAIRS,3,0.000000979650
congressional,FAIRFIELD - BLAIRS,5,0.999999020350
congressional,MARLBORO - BLENHEIM,7,1.000000000000
congressional,WILLIAMSBURG - BLOOMINGVALE,6,1.000000000000
congressional,RICHLAND - BLUFF,2,0.000000000581
congressional,RICHLAND - BLUFF,6,0.999999999419
congressional,RICHLAND - BLYTHEWOOD 1,2,1.000000000000
congressional,RICHLAND - BLYTHEWOOD 2,2,0.999999292879
congressional,RICHLAND - BLYTHEWOOD 2,5,0.000000707121
congressional,RICHLAND - BLYTHEWOOD 3,2,0.999967599235
congressional,RICHLAND - BLYTHEWOOD 3,6,0.000032400765
congressional,GREENVILLE - BOILING SPRINGS,4,1.000000000000
congressional,LEXINGTON - BOILING SPRINGS,2,1.000000000000
congressional,SPARTANBURG - BOILING SPRINGS 9TH GRADE,5,1.000000000000
congressional,SPARTANBURG - BOILING SPRINGS ELEMENTARY,4,1.000000000000
congressional,SPARTANBURG - BOILING SPRINGS HIGH SCHOOL,5,1.000000000000
congressional,LEXINGTON - BOILING SPRINGS SOUTH,2,1.000000000000
congressional,ORANGEBURG - BOLENTOWN,2,1.000000000000
congressional,SPARTANBURG - BOLING SPRINGS JR. HIGH,5,1.000000000000
congressional,UNION - BONHAM,5,1.000000000000
congressional,BERKELEY - BONNEAU,1,1.000000000000
congressional,BERKELEY - BONNEAU BEACH,1,1.000000000000
congressional,HAMPTON - BONNETT,6,1.000000000000
congressional,RICHLAND - BOOKMAN,2,1.000000000000
congressional,GREENVILLE - BOTANY WOODS,4,1.000000000000
congressional,BERKELEY - BOULDER BLUFF,1,1.000000000000
congressional,ANDERSON - BOWLING GREEN,3,1.000000000000
congressional,YORK - BOWLING GREEN,5,1.000000000000
congressional,ORANGEBURG - BOWMAN 1,6,1.000000000000
congressional,ORANGEBURG - BOWMAN 2,6,1.000000000000
congressional,GREENWOOD - BRADLEY,3,1.000000000000
congressional,ORANGEBURG - BRANCHVILLE 1,6,1.000000000000
congressional,ORANGEBURG - BRANCHVILLE 2,6,1.000000000000
congressional,RICHLAND - BRANDON 1,2,0.999992917116
congressional,RICHLAND - BRANDON 1,6,0.000007082884
congressional,RICHLAND - BRANDON 2,2,0.999999208663
congressional,RICHLAND - BRANDON 2,6,0.000000791337
congressional,DORCHESTER - BRANDYMILL,1,1.000000000000
congressional,DORCHESTER - BRANDYMILL 2,1,1.000000000000
congressional,DORCHESTER - BRIARWOOD,1,1.000000000000
congressional,RICHLAND - BRIARWOOD,2,0.999971851864
congressional,RICHLAND - BRIARWOOD,6,0.000028148136
congressional,DORCHESTER - BRIARWOOD 2,1,1.000000000000
congressional,DORCHESTER - BRIARWOOD 3,1,1.000000000000
congressional,RICHLAND - BRIDGE CREEK,2,1.000000000000
congressional,GREENVILLE - BRIDGE FORK,4,1.000000000000
congressional,MARLBORO - BRIGHTSVILLE,7,1.000000000000
congressional,MARION - BRITTONS NECK,6,0.000015381332
congressional,MARION - BRITTONS NECK,7,0.999984618668
congressional,ABBEVILLE - BROADMOUTH,3,1.000000000000
congressional,ANDERSON - BROADVIEW,3,1.000000000000
congressional,ANDERSON - BROADWAY,3,1.000000000000
congressional,CHESTERFIELD - BROCKS MILL,7,1.000000000000
congressional,GREENVILLE - BROOK GLENN,4,1.000000000000
congressional,ORANGEBURG - BROOKDALE,6,1.000000000000
congressional,FLORENCE - BROOKGREEN,7,1.000000000000
congressional,HORRY - BROOKSVILLE 1,7,1.000000000000
congressional,HORRY - BROOKSVILLE 2,7,1.000000000000
congressional,SPARTANBURG - BROOME HIGH SCHOOL,4,1.000000000000
congressional,GEORGETOWN - BROWNS FERRY,7,1.000000000000
congressional,MARLBORO - BROWNSVILLE,7,1.000000000000
congressional,HORRY - BROWNWAY,7,1.000000000000
congressional,EDGEFIELD - BRUNSON,3,1.000000000000
congressional,HAMPTON - BRUNSON,6,1.000000000000
