source_result_key,source_norm,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,recommendation
Aiken - Gem Lakes,AIKEN - GEM LAKES,Aiken - Misty Lakes,0.8333,Aiken - Gem Lakes No. 60,0.8293,Aiken - Gem Lakes No. 77,0.8293,review
Aiken - Gloverville 15,AIKEN - GLOVERVILLE 15,Aiken - Gloverville,0.9268,,,,,likely_safe
Aiken - Graniteville 16,AIKEN - GRANITEVILLE 16,Aiken - Graniteville,0.9302,,,,,likely_safe
Aiken - Hammond,AIKEN - HAMMOND,Aiken - Hammond No. 48,0.8108,Aiken - Hammond No. 81,0.8108,Aiken - Ward,0.7407,review
Aiken - Hitchcock No.66,AIKEN - HITCHCOCK NO.66,Aiken - Hitchcock No. 66,0.9787,,,,,likely_safe
Aiken - Hollow Creek 53,AIKEN - HOLLOW CREEK 53,Aiken - Hollow Creek,0.9302,Lexington - Hollow Creek,0.7234,Aiken - Fox Creek No. 58,0.7234,likely_safe
Aiken - Jackson No. 17,AIKEN - JACKSON NO. 17,Aiken - Aiken No. 1,0.8293,Aiken - Jackson,0.8108,Aiken - Aiken No. 47,0.8095,review
Aiken - Langley No. 18,AIKEN - LANGLEY NO. 18,Aiken - Langley,0.8108,Aiken - Midland Valley No. 51,0.7843,Aiken - Midland Valley No. 71,0.7843,review
Aiken - Levels,AIKEN - LEVELS,Aiken - Levels No. 52,0.8000,Aiken - Levels No. 72,0.8000,Aiken - Levels No. 83,0.8000,review
Aiken - Levels No.72,AIKEN - LEVELS NO.72,Aiken - Levels No. 72,0.9756,Aiken - Levels No. 52,0.9268,Aiken - Levels No. 83,0.8780,likely_safe
Aiken - Lynwood No. 19,AIKEN - LYNWOOD NO. 19,Aiken - Lynwood,0.8108,Aiken - Aiken No. 1,0.7317,Aiken - Hammond No. 81,0.7273,review
Aiken - Millbrook No 20,AIKEN - MILLBROOK NO 20,Aiken - Millbrook,0.8500,,,,,review
Aiken - Millbrook No. 20,AIKEN - MILLBROOK NO. 20,Aiken - Millbrook,0.8293,Aiken - Aiken No. 2,0.7442,,,review
Aiken - Misty Lakes No 45,AIKEN - MISTY LAKES NO 45,Aiken - Misty Lakes,0.8636,Aiken - Gem Lakes No. 60,0.7755,Aiken - Gem Lakes No. 77,0.7755,review
Aiken - Misty Lakes No. 45,AIKEN - MISTY LAKES NO. 45,Aiken - Misty Lakes,0.8444,Aiken - Gem Lakes No. 60,0.8000,Aiken - Gem Lakes No. 77,0.8000,review
Aiken - Monetta No. 21,AIKEN - MONETTA NO. 21,Aiken - Monetta,0.8108,Aiken - Hammond No. 81,0.7727,Aiken - Montmorenci No. 22,0.7500,review
Aiken - N Augusta No 25,AIKEN - N AUGUSTA NO 25,Aiken - N. Augusta No. 25,0.9583,Aiken - N. Augusta No. 26,0.9167,Aiken - N. Augusta No. 27,0.9167,likely_safe
Aiken - N Augusta No 27,AIKEN - N AUGUSTA NO 27,Aiken - N. Augusta No. 27,0.9583,Aiken - N. Augusta No. 25,0.9167,Aiken - N. Augusta No. 26,0.9167,likely_safe
Aiken - N Augusta No 28,AIKEN - N AUGUSTA NO 28,Aiken - N. Augusta No. 28,0.9583,Aiken - N. Augusta No. 25,0.9167,Aiken - N. Augusta No. 26,0.9167,likely_safe
Aiken - N Augusta No 29,AIKEN - N AUGUSTA NO 29,Aiken - N. Augusta No. 29,0.9583,Aiken - N. Augusta No. 25,0.9167,Aiken - N. Augusta No. 26,0.9167,likely_safe
Aiken - N Augusta No 54,AIKEN - N AUGUSTA NO 54,Aiken - N. Augusta No. 54,0.9583,Aiken - N. Augusta No. 25,0.9167,Aiken - N. Augusta No. 55,0.9167,likely_safe
Aiken - N Augusta No 55,AIKEN - N AUGUSTA NO 55,Aiken - N. Augusta No. 55,0.9583,Aiken - N. Augusta No. 25,0.9167,Aiken - N. Augusta No. 54,0.9167,likely_safe
Aiken - N Augusta No.67,AIKEN - N AUGUSTA NO.67,Aiken - N. Augusta No. 67,0.9583,Aiken - N. Augusta No. 26,0.9167,Aiken - N. Augusta No. 27,0.9167,likely_safe
Aiken - N Augusta No.68,AIKEN - N AUGUSTA NO.68,Aiken - N. Augusta No. 68,0.9583,Aiken - N. Augusta No. 26,0.9167,Aiken - N. Augusta No. 28,0.9167,likely_safe
Aiken - New Ellenton 23,AIKEN - NEW ELLENTON 23,Aiken - New Ellenton,0.9302,,,,,likely_safe
Aiken - New Holland 24,AIKEN - NEW HOLLAND 24,Aiken - New Holland,0.9268,,,,,likely_safe
Aiken - Oak Grove No 30,AIKEN - OAK GROVE NO 30,Aiken - Oak Grove,0.8500,Aiken - Aiken No. 3,0.7619,,,review
Aiken - Oak Grove No. 30,AIKEN - OAK GROVE NO. 30,Aiken - Oak Grove,0.8293,Aiken - Aiken No. 3,0.7907,Aiken - Aiken No. 1,0.7442,review
Aiken - Perry No. 31,AIKEN - PERRY NO. 31,Aiken - Perry,0.7879,Aiken - Aiken No. 1,0.7692,Aiken - Aiken No. 3,0.7692,review
Aiken - Pine Forest 59,AIKEN - PINE FOREST 59,Aiken - Pine Forest,0.9268,,,,,likely_safe
Aiken - Redds Branch 57,AIKEN - REDDS BRANCH 57,Aiken - Redds Branch,0.9302,,,,,likely_safe
Aiken - Salley No. 32,AIKEN - SALLEY NO. 32,Aiken - Aiken No. 2,0.8000,Aiken - Aiken No. 3,0.8000,Aiken - Salley,0.8000,review
Aiken - Shaws Fork 33,AIKEN - SHAWS FORK 33,Aiken - Shaws Fork,0.9231,,,,,likely_safe
Aiken - Shiloh No. 34,AIKEN - SHILOH NO. 34,Aiken - Shiloh,0.8000,Aiken - Aiken No. 3,0.7500,Aiken - Aiken No. 4,0.7500,review
Aiken - Silver Bluff 61,AIKEN - SILVER BLUFF 61,Aiken - Silver Bluff,0.9302,,,,,likely_safe
Aiken - Tabernacle 36,AIKEN - TABERNACLE 36,Aiken - Tabernacle,0.9231,,,,,likely_safe
Aiken - Talatha No. 37,AIKEN - TALATHA NO. 37,Aiken - Talatha,0.8108,Aiken - Aiken No. 3,0.7317,,,review
Aiken - Vaucluse No. 38,AIKEN - VAUCLUSE NO. 38,Aiken - Vaucluse,0.8205,Aiken - Levels No. 83,0.7727,Aiken - Aiken No. 3,0.7619,review
Aiken - Wagener No. 39,AIKEN - WAGENER NO. 39,Aiken - Aiken No. 3,0.8293,Aiken - Wagener,0.8108,Aiken - Aiken No. 1,0.7805,review
Aiken - Warrenville 41,AIKEN - WARRENVILLE 41,Aiken - Warrenville,0.9268,,,,,likely_safe
Aiken - White Pond 42,AIKEN - WHITE POND 42,Aiken - White Pond,0.9231,,,,,likely_safe
Aiken - Willow Springs 49,AIKEN - WILLOW SPRINGS 49,Aiken - Willow Springs,0.9362,Aiken - China Springs,0.7391,,,likely_safe
Anderson - 3 And 20,ANDERSON - 3 AND 20,Anderson - Anderson 1/2,0.7805,Anderson - Anderson 2/1,0.7805,Anderson - Anderson 2/2,0.7805,review
Anderson - 5 Forks,ANDERSON - 5 FORKS,Anderson - Five Forks,0.8718,Anderson - Fork No 1,0.7895,Anderson - Fork No 2,0.7895,review
Anderson - Anderson 5A,ANDERSON - ANDERSON 5A,Anderson - Anderson 5/B,0.9545,Anderson - Anderson 1/1,0.9091,Anderson - Anderson 1/2,0.9091,likely_safe
Anderson - Centerville Sta A,ANDERSON - CENTERVILLE STA A,Anderson - Centerville Station A,0.9333,Anderson - Centerville Station B,0.9000,Anderson - Center Rock,0.7200,likely_safe
Anderson - Centerville Sta B,ANDERSON - CENTERVILLE STA B,Anderson - Centerville Station B,0.9333,Anderson - Centerville Station A,0.9000,Anderson - Center Rock,0.7200,likely_safe
Anderson - Edgewood Sta B,ANDERSON - EDGEWOOD STA B,Anderson - Edgewood Station B,0.9259,Anderson - Edgewood Station A,0.8889,,,likely_safe
Anderson - Fork No.1,ANDERSON - FORK NO.1,Anderson - Fork No 1,0.9500,Anderson - Fork No 2,0.9000,Anderson - Five Forks,0.7317,likely_safe
Anderson - Fork No.2,ANDERSON - FORK NO.2,Anderson - Fork No 2,0.9500,Anderson - Fork No 1,0.9000,Anderson - Five Forks,0.7317,likely_safe
Anderson - Green Pond Sta A,ANDERSON - GREEN POND STA A,Anderson - Green Pond Station A,0.9310,Anderson - Edgewood Station A,0.7500,,,likely_safe
Anderson - Grove School,ANDERSON - GROVE SCHOOL,Anderson - Hammond School,0.7917,Anderson - Wright'S School,0.7917,Anderson - Provisional,0.7556,review
Anderson - Lafrance,ANDERSON - LAFRANCE,Anderson - La France,0.9744,Anderson - Varennes,0.7895,Anderson - Failsafe,0.7895,likely_safe
Anderson - Rock Springs,ANDERSON - ROCK SPRINGS,Anderson - Rock Spring,0.9778,Anderson - Rock Mill,0.7907,Pickens - Rock Springs,0.7556,likely_safe
Anderson - Three Twenty,ANDERSON - THREE TWENTY,Anderson - Three And Twenty,0.9200,Anderson - South Fant,0.7273,,,likely_safe
Beaufort - Bluffton 3A,BEAUFORT - BLUFFTON 3A,Beaufort - Bluffton 3,0.9767,Beaufort - Bluffton 1A,0.9545,Beaufort - Bluffton 2A,0.9545,likely_safe
Beaufort - Bluffton 3B,BEAUFORT - BLUFFTON 3B,Beaufort - Bluffton 3,0.9767,Beaufort - Bluffton 1B,0.9545,Beaufort - Bluffton 2B,0.9545,likely_safe
Beaufort - Bluffton 5,BEAUFORT - BLUFFTON 5,Beaufort - Bluffton 5A,0.9767,Beaufort - Bluffton 5B,0.9767,Beaufort - Bluffton 5C,0.9767,likely_safe
Beaufort - Chechessee,BEAUFORT - CHECHESSEE,Beaufort - Chechessee 1,0.9545,Beaufort - Chechessee 2,0.9545,Beaufort - Chechessee 3,0.9545,likely_safe
Beaufort - Hilton Head 6A,BEAUFORT - HILTON HEAD 6A,Beaufort - Hilton Head 6,0.9796,Beaufort - Hilton Head 1A,0.9600,Beaufort - Hilton Head 2A,0.9600,likely_safe
Beaufort - Hilton Head 6B,BEAUFORT - HILTON HEAD 6B,Beaufort - Hilton Head 6,0.9796,Beaufort - Hilton Head 1B,0.9600,Beaufort - Hilton Head 2B,0.9600,likely_safe
Beaufort - Hilton Head 8A,BEAUFORT - HILTON HEAD 8A,Beaufort - Hilton Head 8,0.9796,Beaufort - Hilton Head 1A,0.9600,Beaufort - Hilton Head 2A,0.9600,likely_safe
Beaufort - Hilton Head 8B,BEAUFORT - HILTON HEAD 8B,Beaufort - Hilton Head 8,0.9796,Beaufort - Hilton Head 1B,0.9600,Beaufort - Hilton Head 2B,0.9600,likely_safe
Beaufort - Saint Helena 1A,BEAUFORT - SAINT HELENA 1A,Beaufort - St. Helena 1A,0.9200,Beaufort - St. Helena 1B,0.8800,Beaufort - St. Helena 1C,0.8800,likely_safe
Beaufort - Saint Helena 1B,BEAUFORT - SAINT HELENA 1B,Beaufort - St. Helena 1B,0.9200,Beaufort - St. Helena 1A,0.8800,Beaufort - St. Helena 1C,0.8800,likely_safe
Beaufort - Saint Helena 1C,BEAUFORT - SAINT HELENA 1C,Beaufort - St. Helena 1C,0.9200,Beaufort - St. Helena 1A,0.8800,Beaufort - St. Helena 1B,0.8800,likely_safe
Beaufort - Saint Helena 2A,BEAUFORT - SAINT HELENA 2A,Beaufort - St. Helena 2A,0.9200,Beaufort - St. Helena 1A,0.8800,Beaufort - St. Helena 2B,0.8800,likely_safe
Beaufort - Saint Helena 2B,BEAUFORT - SAINT HELENA 2B,Beaufort - St. Helena 2B,0.9200,Beaufort - St. Helena 1B,0.8800,Beaufort - St. Helena 2A,0.8800,likely_safe
Beaufort - Saint Helena 2C,BEAUFORT - SAINT HELENA 2C,Beaufort - St. Helena 2C,0.9200,Beaufort - St. Helena 1C,0.8800,Beaufort - St. Helena 2A,0.8800,likely_safe
Beaufort - Sun City 1A,BEAUFORT - SUN CITY 1A,Beaufort - Sun City 1,0.9767,Beaufort - Sun City 10,0.9545,Beaufort - Sun City 2,0.9302,likely_safe
Beaufort - Sun City 1B,BEAUFORT - SUN CITY 1B,Beaufort - Sun City 1,0.9767,Beaufort - Sun City 10,0.9545,Beaufort - Sun City 2,0.9302,likely_safe
Beaufort - Sun City 3A,BEAUFORT - SUN CITY 3A,Beaufort - Sun City 3,0.9767,Beaufort - Sun City 1,0.9302,Beaufort - Sun City 2,0.9302,likely_safe
Beaufort - Sun City 3B,BEAUFORT - SUN CITY 3B,Beaufort - Sun City 3,0.9767,Beaufort - Sun City 1,0.9302,Beaufort - Sun City 2,0.9302,likely_safe
Beaufort - Sun City 4A,BEAUFORT - SUN CITY 4A,Beaufort - Sun City 4,0.9767,Beaufort - Sun City 1,0.9302,Beaufort - Sun City 2,0.9302,likely_safe
Beaufort - Sun City 4B,BEAUFORT - SUN CITY 4B,Beaufort - Sun City 4,0.9767,Beaufort - Sun City 1,0.9302,Beaufort - Sun City 2,0.9302,likely_safe
Berkeley - 52,BERKELEY - 52,Berkeley - Old 52,0.8667,Berkeley - Alvin,0.7586,Berkeley - Cross,0.7586,review
Berkeley - 78,BERKELEY - 78,Berkeley - Alvin,0.7586,Berkeley - Cross,0.7586,Berkeley - Huger,0.7586,review
Berkeley - Boulder Bluff No. 1,BERKELEY - BOULDER BLUFF NO. 1,Berkeley - Boulder Bluff,0.8889,,,,,review
Berkeley - Carnes Cross Road 1,BERKELEY - CARNES CROSS ROAD 1,Berkeley - Carnes Cross Roads 1,0.9836,Berkeley - Carnes Cross Roads 2,0.9508,Berkeley - Hilton Cross Rd,0.7500,likely_safe
Berkeley - Daniel Island,BERKELEY - DANIEL ISLAND,Berkeley - Daniel Island 1,0.9600,Berkeley - Daniel Island 2,0.9600,Berkeley - Daniel Island 3,0.9600,likely_safe
Berkeley - Devon Forest,BERKELEY - DEVON FOREST,Berkeley - Devon Forest 1,0.9583,Berkeley - Devon Forest 2,0.9583,Berkeley - Seventy Eight,0.7234,likely_safe
Berkeley - Emergency,BERKELEY - EMERGENCY,Berkeley - Medway,0.7568,Berkeley - Bethera,0.7368,Berkeley - Huger,0.7222,review
Berkeley - Emergency 2,BERKELEY - EMERGENCY 2,,,,,,,no_confident_match
Berkeley - Foster Creek,BERKELEY - FOSTER CREEK,Berkeley - Foster Creek 1,0.9583,Berkeley - Foster Creek 2,0.9583,Berkeley - Foster Creek 3,0.9583,likely_safe
Berkeley - Goose Creek 1,BERKELEY - GOOSE CREEK 1,Berkeley - Foster Creek 1,0.8980,Berkeley - Foster Creek 2,0.8571,Berkeley - Foster Creek 3,0.8571,review
Berkeley - Goose Creek 2,BERKELEY - GOOSE CREEK 2,Berkeley - Foster Creek 2,0.8980,Berkeley - Foster Creek 1,0.8571,Berkeley - Foster Creek 3,0.8571,review
Berkeley - Goose Creek 3,BERKELEY - GOOSE CREEK 3,Berkeley - Foster Creek 3,0.8980,Berkeley - Foster Creek 1,0.8571,Berkeley - Foster Creek 2,0.8571,review
Berkeley - Hilton Cross Road,BERKELEY - HILTON CROSS ROAD,Berkeley - Hilton Cross Rd,0.9630,Berkeley - Carnes Cross Roads 1,0.7797,Berkeley - Carnes Cross Roads 2,0.7797,likely_safe
Berkeley - Howe Hall,BERKELEY - HOWE HALL,Berkeley - Howe Hall 1,0.9524,Berkeley - Howe Hall 2,0.9524,Berkeley - Liberty Hall,0.7907,likely_safe
Berkeley - Macbeth,BERKELEY - MACBETH,Berkeley - Mcbeth,0.9714,Berkeley - Bethera,0.8333,Berkeley - Macedonia,0.7895,likely_safe
Berkeley - St. Stephen,BERKELEY - ST. STEPHEN,Berkeley - St. Stephen 1,0.9565,Berkeley - St. Stephen 2,0.9565,Berkeley - St. James,0.7619,likely_safe
Berkeley - Whitesville,BERKELEY - WHITESVILLE,Berkeley - Whitesville 1,0.9565,Berkeley - Whitesville 2,0.9565,Berkeley - Cordesville,0.8182,likely_safe
Calhoun - Murph Mill,CALHOUN - MURPH MILL,Calhoun - Murph Hill,0.9500,Calhoun - Center Hill,0.7317,,,likely_safe
Charleston - N. Charleston 10,CHARLESTON - N. CHARLESTON 10,Charleston - Charleston 10,0.9455,Charleston - Charleston 1,0.9259,Charleston - North Charleston 10,0.9180,likely_safe
Charleston - N. Charleston 11,CHARLESTON - N. CHARLESTON 11,Charleston - Charleston 11,0.9455,Charleston - Charleston 1,0.9259,Charleston - North Charleston 11,0.9180,likely_safe
Charleston - N. Charleston 12,CHARLESTON - N. CHARLESTON 12,Charleston - Charleston 12,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 2,0.9259,likely_safe
Charleston - N. Charleston 13,CHARLESTON - N. CHARLESTON 13,Charleston - Charleston 13,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 3,0.9259,likely_safe
Charleston - N. Charleston 14,CHARLESTON - N. CHARLESTON 14,Charleston - Charleston 14,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 4,0.9259,likely_safe
Charleston - N. Charleston 15,CHARLESTON - N. CHARLESTON 15,Charleston - Charleston 15,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 5,0.9259,likely_safe
Charleston - N. Charleston 16,CHARLESTON - N. CHARLESTON 16,Charleston - Charleston 16,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 6,0.9259,likely_safe
Charleston - N. Charleston 17,CHARLESTON - N. CHARLESTON 17,Charleston - Charleston 17,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 7,0.9259,likely_safe
Charleston - N. Charleston 19,CHARLESTON - N. CHARLESTON 19,Charleston - Charleston 19,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 9,0.9259,likely_safe
Charleston - N. Charleston 20,CHARLESTON - N. CHARLESTON 20,Charleston - Charleston 20,0.9455,Charleston - Charleston 2,0.9259,Charleston - North Charleston 20,0.9180,likely_safe
Charleston - N. Charleston 21,CHARLESTON - N. CHARLESTON 21,Charleston - Charleston 21,0.9455,Charleston - Charleston 1,0.9259,Charleston - Charleston 2,0.9259,likely_safe
Charleston - N. Charleston 23,CHARLESTON - N. CHARLESTON 23,Charleston - Charleston 2,0.9259,Charleston - Charleston 3,0.9259,Charleston - North Charleston 23,0.9180,likely_safe
Charleston - N. Charleston 27,CHARLESTON - N. CHARLESTON 27,Charleston - Charleston 2,0.9259,Charleston - Charleston 7,0.9259,Charleston - North Charleston 27,0.9180,likely_safe
Charleston - N. Charleston 29,CHARLESTON - N. CHARLESTON 29,Charleston - Charleston 2,0.9259,Charleston - Charleston 9,0.9259,Charleston - North Charleston 29,0.9180,likely_safe
Charleston - N. Charleston 3,CHARLESTON - N. CHARLESTON 3,Charleston - Charleston 3,0.9434,Charleston - Charleston 13,0.9259,Charleston - North Charleston 3,0.9153,likely_safe
Charleston - N. Charleston 4,CHARLESTON - N. CHARLESTON 4,Charleston - Charleston 4,0.9434,Charleston - Charleston 14,0.9259,Charleston - North Charleston 4,0.9153,likely_safe
Charleston - N. Charleston 5,CHARLESTON - N. CHARLESTON 5,Charleston - Charleston 5,0.9434,Charleston - Charleston 15,0.9259,Charleston - North Charleston 5,0.9153,likely_safe
Charleston - N. Charleston 6,CHARLESTON - N. CHARLESTON 6,Charleston - Charleston 6,0.9434,Charleston - Charleston 16,0.9259,Charleston - North Charleston 6,0.9153,likely_safe
Charleston - N. Charleston 7,CHARLESTON - N. CHARLESTON 7,Charleston - Charleston 7,0.9434,Charleston - Charleston 17,0.9259,Charleston - North Charleston 7,0.9153,likely_safe
Charleston - N. Charleston 9,CHARLESTON - N. CHARLESTON 9,Charleston - Charleston 9,0.9434,Charleston - Charleston 19,0.9259,Charleston - North Charleston 9,0.9153,likely_safe
Charleston - Town Of Seabrook Island,CHARLESTON - TOWN OF SEABROOK ISLAND,Charleston - Town Of Seabrook,0.8923,Charleston - Johns Island 2,0.7302,Charleston - Johns Island 4,0.7302,review
Cherokee - 99 And Cherokee Falls,CHEROKEE - 99 AND CHEROKEE FALLS,Cherokee - Ninety Nine And Cherokee Falls,0.8219,,,,,review
Cherokee - Blacksburg Ward No. 3,CHEROKEE - BLACKSBURG WARD NO. 3,Cherokee - Blacksburg Ward No. 1,0.9688,Cherokee - Blacksburg Ward No. 2,0.9688,Cherokee - Gaffney Ward No. 3,0.7541,likely_safe
Cherokee - Blacksburg Ward No. 4,CHEROKEE - BLACKSBURG WARD NO. 4,Cherokee - Blacksburg Ward No. 1,0.9688,Cherokee - Blacksburg Ward No. 2,0.9688,Cherokee - Gaffney Ward No. 4,0.7541,likely_safe
Cherokee - Central,CHEROKEE - CENTRAL,Berkeley - Central,0.8333,Cherokee - Macedonia,0.7895,Cherokee - Allens,0.7429,review
Cherokee - Ezellsbutler,CHEROKEE - EZELLSBUTLER,Cherokee - Ezells And Butler,0.9020,,,,,likely_safe
Cherokee - Littlejohns And Sarratt,CHEROKEE - LITTLEJOHNS AND SARRATT,Cherokee - Littlejohn'S And Sarratt'S,0.9855,,,,,likely_safe
Cherokee - Musgrove,CHEROKEE - MUSGROVE,Cherokee - Musgrove Mill,0.8837,Cherokee - Pleasant Grove,0.7727,Cherokee - Morgan,0.7222,review
Chester - Great Falls 3,CHESTER - GREAT FALLS 3,Chester - Great Falls,0.9545,Chester - Eureka Mill,0.7273,,,likely_safe
Chester - Lando Lansford,CHESTER - LANDO LANSFORD,Chester - Lando/Lansford,0.9787,,,,,likely_safe
Chester - Landolandsford,CHESTER - LANDOLANDSFORD,Chester - Lando/Lansford,0.9787,,,,,likely_safe
Chester - Landsford,CHESTER - LANDSFORD,Chester - Lando/Lansford,0.9048,Dorchester - Windsor,0.7692,Dorchester - Windsor 2,0.7317,likely_safe
Chesterfield - Angelus-Catarrh,CHESTERFIELD - ANGELUS-CATARRH,Chesterfield - Angelus-Cararrh,0.9667,Chesterfield - Cash,0.7347,,,likely_safe
Chesterfield - Center Point,CHESTERFIELD - CENTER POINT,Chesterfield - Center Grove-Winzo,0.8333,Chesterfield - Jefferson,0.7843,Chesterfield - Mcbee,0.7660,review
Chesterfield - Pageland,CHESTERFIELD - PAGELAND,Chesterfield - Pageland No. 1,0.8846,Chesterfield - Pageland No. 2,0.8846,Chesterfield - Pee Dee,0.8000,review
Chesterfield - Snow Hill,CHESTERFIELD - SNOW HILL,Chesterfield - Snow Hill-Vaughn,0.8727,Chesterfield - Shiloh,0.8444,Chesterfield - Brocks Mill,0.8000,review
Clarendon - Sardinia-Gable,CLARENDON - SARDINIA-GABLE,Clarendon - Sardina-Gable,0.9804,Clarendon - Oakdale,0.7556,Clarendon - Barrineau,0.7234,likely_safe
Clarendon - Wilson-Foreston,CLARENDON - WILSON-FORESTON,Clarendon - Wilson Foreston,0.9630,Clarendon - Failsafe,0.7234,,,likely_safe
Colleton - Ashton,COLLETON - ASHTON,Colleton - Ashton-Lodge,0.8500,Colleton - Edisto,0.8235,Colleton - Stokes,0.8235,review
Colleton - Berea,COLLETON - BEREA,Colleton - Berea-Smoaks,0.8205,Colleton - Bells,0.8125,Colleton - Peniel,0.7879,review
Colleton - Hudsons Mill,COLLETON - HUDSONS MILL,Colleton - Hudson Mill,0.9778,Colleton - Hendersonville,0.7917,,,likely_safe
Colleton - Lodge,COLLETON - LODGE,Colleton - Ashton-Lodge,0.8205,Colleton - Stokes,0.7879,Colleton - Peeples,0.7647,review
Colleton - Peoples,COLLETON - PEOPLES,Colleton - Peeples,0.9444,Colleton - Bells,0.8235,Colleton - Petits,0.8000,likely_safe
Colleton - Sidney,COLLETON - SIDNEY,Colleton - Sidneys,0.9714,Colleton - Sniders,0.8571,Colleton - Peniel,0.7647,likely_safe
Colleton - Smoaks,COLLETON - SMOAKS,Colleton - Stokes,0.8824,Colleton - Berea-Smoaks,0.8500,Colleton - Edisto,0.7647,review
Colleton - Walterboro No 1,COLLETON - WALTERBORO NO 1,Colleton - Walterboro No. 1,0.9811,Colleton - Walterboro No. 2,0.9434,Colleton - Walterboro No. 3,0.9434,likely_safe
Colleton - Walterboro No 2,COLLETON - WALTERBORO NO 2,Colleton - Walterboro No. 2,0.9811,Colleton - Walterboro No. 1,0.9434,Colleton - Walterboro No. 3,0.9434,likely_safe
Colleton - Walterboro No 3,COLLETON - WALTERBORO NO 3,Colleton - Walterboro No. 3,0.9811,Colleton - Walterboro No. 1,0.9434,Colleton - Walterboro No. 2,0.9434,likely_safe
Colleton - Walterboro No 4,COLLETON - WALTERBORO NO 4,Colleton - Walterboro No. 4,0.9811,Colleton - Walterboro No. 1,0.9434,Colleton - Walterboro No. 2,0.9434,likely_safe
Darlington - Darlington No 1,DARLINGTON - DARLINGTON NO 1,Darlington - Darlington No. 1,0.9825,Darlington - Darlington No. 2,0.9474,Darlington - Darlington No. 4,0.9474,likely_safe
Darlington - Darlington No 2,DARLINGTON - DARLINGTON NO 2,Darlington - Darlington No. 2,0.9825,Darlington - Darlington No. 1,0.9474,Darlington - Darlington No. 4,0.9474,likely_safe
Darlington - Darlington No 3,DARLINGTON - DARLINGTON NO 3,Darlington - Darlington No. 3,0.9825,Darlington - Darlington No. 1,0.9474,Darlington - Darlington No. 2,0.9474,likely_safe
Darlington - Darlington No 4,DARLINGTON - DARLINGTON NO 4,Darlington - Darlington No. 4,0.9825,Darlington - Darlington No. 1,0.9474,Darlington - Darlington No. 2,0.9474,likely_safe
Darlington - Darlington No 5,DARLINGTON - DARLINGTON NO 5,Darlington - Darlington No. 5,0.9825,Darlington - Darlington No. 1,0.9474,Darlington - Darlington No. 2,0.9474,likely_safe
Darlington - Darlington No 6,DARLINGTON - DARLINGTON NO 6,Darlington - Darlington No. 6,0.9825,Darlington - Darlington No. 1,0.9474,Darlington - Darlington No. 2,0.9474,likely_safe
