source_result_key,source_norm,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,recommendation
Abbeville - Abbeville 3,ABBEVILLE - ABBEVILLE 3,Abbeville - Abbeville No. 3,0.9200,Abbeville - Abbeville No. 1,0.8800,Abbeville - Abbeville No. 2,0.8800,likely_safe
Aiken - 6 Points 35,AIKEN - 6 POINTS 35,Aiken - Six Points No. 35,0.8182,Aiken - Six Points No. 46,0.7273,,,review
Aiken - 6 Points 46,AIKEN - 6 POINTS 46,Aiken - Six Points No. 46,0.8182,Aiken - Six Points No. 35,0.7273,,,review
Aiken - Ascauga Lake,AIKEN - ASCAUGA LAKE,Aiken - Ascauga Lake No. 63,0.8511,Aiken - Ascauga Lake No. 84,0.8511,,,review
Aiken - Beech Island 8,AIKEN - BEECH ISLAND 8,Aiken - Beech Island,0.9524,,,,,likely_safe
Aiken - Carolina Heights 10,AIKEN - CAROLINA HEIGHTS 10,Aiken - Carolina Heights,0.9412,,,,,likely_safe
Aiken - Cedar Creek No.64,AIKEN - CEDAR CREEK NO.64,Aiken - Cedar Creek No. 64,0.9804,Aiken - Creek No. 85,0.7556,Aiken - Fox Creek No. 58,0.7347,likely_safe
Aiken - China Springs 11,AIKEN - CHINA SPRINGS 11,Aiken - China Springs,0.9333,Aiken - Willow Springs,0.7391,,,likely_safe
Aiken - Clearwater 12,AIKEN - CLEARWATER 12,Aiken - Clearwater,0.9231,,,,,likely_safe
Aiken - College Acres 13,AIKEN - COLLEGE ACRES 13,Aiken - College Acres,0.9333,,,,,likely_safe
Aiken - Couchton No. 56,AIKEN - COUCHTON NO. 56,Aiken - Couchton,0.8205,Aiken - Community No. 86,0.7660,Aiken - South Aiken No. 75,0.7347,review
Aiken - Eureka No. 14,AIKEN - EUREKA NO. 14,Aiken - Eureka,0.8000,Aiken - Creek No. 85,0.7805,Aiken - Cedar Creek No. 64,0.7660,review
Aiken - Fox Creek No 58,AIKEN - FOX CREEK NO 58,Aiken - Fox Creek No. 58,0.9787,Aiken - Fox Creek No. 73,0.8936,Aiken - Creek No. 85,0.8372,likely_safe
