year,contest_type,county,source_result_key,target_polygon_key,score,status,confidence,notes
2024,president,,Abbeville - Abbeville 3,Abbeville - Abbeville No. 3,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - 6 Points 35,Aiken - Six Points No. 35,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - 6 Points 46,Aiken - Six Points No. 46,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Ascauga Lake,Aiken - Ascauga Lake No. 63,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Ascauga Lake,Aiken - Ascauga Lake No. 84,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Beech Island 8,Aiken - Beech Island,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Carolina Heights 10,Aiken - Carolina Heights,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Cedar Creek No.64,Aiken - Cedar Creek No. 64,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - China Springs 11,Aiken - China Springs,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Clearwater 12,Aiken - Clearwater,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - College Acres 13,Aiken - College Acres,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Couchton No. 56,Aiken - Couchton,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Eureka No. 14,Aiken - Eureka,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Fox Creek No 58,Aiken - Fox Creek No. 58,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Gem Lakes,Aiken - Gem Lakes No. 60,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Gem Lakes,Aiken - Gem Lakes No. 77,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Gloverville 15,Aiken - Gloverville,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Graniteville 16,Aiken - Graniteville,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Hammond,Aiken - Hammond No. 48,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Hammond,Aiken - Hammond No. 81,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Hitchcock No.66,Aiken - Hitchcock No. 66,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Hollow Creek 53,Aiken - Hollow Creek,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Jackson No. 17,Aiken - Jackson,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Langley No. 18,Aiken - Langley,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Levels,Aiken - Levels No. 52,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Levels,Aiken - Levels No. 83,1.0000,approved,medium,generated_from_legacy_split_mapping
2024,president,,Aiken - Levels No.72,Aiken - Levels No. 72,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Lynwood No. 19,Aiken - Lynwood,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Millbrook No 20,Aiken - Millbrook,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Millbrook No. 20,Aiken - Millbrook,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Misty Lakes No 45,Aiken - Misty Lakes,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Misty Lakes No. 45,Aiken - Misty Lakes,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Monetta No. 21,Aiken - Monetta,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No 25,Aiken - N. Augusta No. 25,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No 27,Aiken - N. Augusta No. 27,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No 28,Aiken - N. Augusta No. 28,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No 29,Aiken - N. Augusta No. 29,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No 54,Aiken - N. Augusta No. 54,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No 55,Aiken - N. Augusta No. 55,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No.67,Aiken - N. Augusta No. 67,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - N Augusta No.68,Aiken - N. Augusta No. 68,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - New Ellenton 23,Aiken - New Holland,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - New Holland 24,Aiken - New Holland,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Oak Grove No 30,Aiken - Oak Grove,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Oak Grove No. 30,Aiken - Oak Grove,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Perry No. 31,Aiken - Perry,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Pine Forest 59,Aiken - Pine Forest,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Redds Branch 57,Aiken - Redds Branch,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Salley No. 32,Aiken - Salley,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Shaws Fork 33,Aiken - Shaws Fork,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Shiloh No. 34,Aiken - Shiloh,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Silver Bluff 61,Aiken - Silver Bluff,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Tabernacle 36,Aiken - Tabernacle,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Talatha No. 37,Aiken - Talatha,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Vaucluse No. 38,Aiken - Vaucluse,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Wagener No. 39,Aiken - Wagener,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Warrenville 41,Aiken - Wagener,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - White Pond 42,Aiken - White Pond,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Willow Springs 49,Aiken - Willow Springs,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - 3 And 20,Anderson - Three And Twenty,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - 5 Forks,Anderson - Five Forks,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Anderson 5A,Anderson - Anderson 62,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Centerville Sta A,Anderson - Centerville Station A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Centerville Sta B,Anderson - Centerville Station B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Edgewood Sta B,Anderson - Edgewood Station B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Fork No.1,Anderson - Fork No. 1,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Fork No.2,Anderson - Fork No. 2,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Green Pond Sta A,Anderson - Green Pond Station A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Grove School,Anderson - Jackson Mill,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Lafrance,Anderson - La France,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Rock Springs,Anderson - Rock Spring,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Three Twenty,Anderson - Three And Twenty,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 3A,Beaufort - Moss Creek,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 3B,Beaufort - Bluffton 3,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Bluffton 5,Beaufort - Bluffton 5A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Chechessee,Beaufort - Chechessee 1,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 6A,Beaufort - Hilton Head 6,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 6B,Beaufort - Hilton Head 7A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 8A,Beaufort - Hilton Head 13,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Hilton Head 8B,Beaufort - Hilton Head 8,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Saint Helena 1A,Beaufort - St. Helena 1A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Saint Helena 1B,Beaufort - St. Helena 1B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Saint Helena 1C,Beaufort - St. Helena 1C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Saint Helena 2A,Beaufort - St. Helena 2A,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Saint Helena 2B,Beaufort - St. Helena 2B,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Saint Helena 2C,Beaufort - St. Helena 2C,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Sun City 1A,Beaufort - Sun City 7,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Sun City 1B,Beaufort - Sun City 6,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Sun City 3A,Beaufort - Sun City 8,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Beaufort - Sun City 3B,Beaufort - Sun City 2,1.0000,approved,medium,generated_from_legacy_alias_mapping
