county,source_result_key,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,score_gap_1_2
Laurens,Laurens - Brewerton,1,Laurens - Brewerton - Princeton,Laurens - Brewerton-Princeton,0.7917,Laurens - Greenpond,0.7895,Laurens - Waterloo,0.7568,0.0022
Laurens,Laurens - Princeton,1,Laurens - Brewerton - Princeton,Laurens - Brewerton-Princeton,0.7917,Laurens - Clinton 1,0.7895,Laurens - Clinton 2,0.7895,0.0022
Anderson,Anderson - Grove School,1,Anderson - Jackson Mill,Anderson - Hammond School,0.7917,Anderson - Wright'S School,0.7917,Anderson - Provisional,0.7556,0.0000
Cherokee,Cherokee - Central,1,Cherokee - Gaffney Ward No. 5,Cherokee - Macedonia,0.7895,Cherokee - Allens,0.7429,Cherokee - Provisional,0.7000,0.0466
Lancaster,Lancaster - Belair Ii,1,Lancaster - Black Horse Run,Lancaster - Elgin,0.7895,Lancaster - Osceola,0.7500,Lancaster - Mcilwain,0.7317,0.0395
Georgetown,Georgetown - Georgetown No. 2-Dreamkeepers,1,Georgetown - Dream Keepers,Georgetown - Georgetown No. 1,0.7887,Georgetown - Georgetown No. 3,0.7887,Georgetown - Georgetown No. 4,0.7887,0.0000
Aiken,Aiken - Perry No. 31,1,Aiken - Perry,Aiken - Perry,0.7879,Aiken - Aiken No. 1,0.7692,Aiken - Aiken No. 3,0.7692,0.0186
Spartanburg,Spartanburg - Friendship Baptist,1,Spartanburg - D. R. Hill Middle School,Spartanburg - Mt. Moriah Baptist,0.7812,Spartanburg - Croft Baptist,0.7797,Spartanburg - Holly Springs Baptist,0.7761,0.0016
Horry,Horry - Hickory Hill,1,Horry - Live Oak,Horry - Hickory Grove,0.7805,Horry - Poplar Hill,0.7692,Horry - Windy Hill #1,0.7500,0.0113
Anderson,Anderson - 3 And 20,1,Anderson - Three And Twenty,Anderson - Anderson 1/2,0.7805,Anderson - Anderson 2/1,0.7805,Anderson - Anderson 2/2,0.7805,0.0000
Horry,Horry - Gurley,1,Horry - Bayboro-Gurley,Horry - Bayboro-Gurley,0.7778,Horry - Four Mile,0.7742,Horry - Leon,0.7692,0.0036
