county,source_result_key,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,candidate_4,score_4,candidate_5,score_5,score_gap_1_2,recommendation
Georgetown,Georgetown - Georgetown No. 2-Dream Keepers,1,Georgetown - Dream Keepers,Georgetown - Georgetown No. 1,0.7778,Georgetown - Georgetown No. 3,0.7778,Georgetown - Georgetown No. 4,0.7778,Georgetown - Georgetown No. 5,0.7778,Georgetown - Dream Keepers,0.7536,0.0000,manual_review
Georgetown,Georgetown - Emergency,1,Georgetown - Lambert Town,Georgetown - Pee Dee,0.7619,Georgetown - Myersville,0.7556,Georgetown - Bethel,0.7317,Georgetown - Santee,0.7317,Georgetown - Lambert Town,0.7234,0.0063,manual_review
Spartanburg,Spartanburg - Pine Street Elementary School,1,Spartanburg - River Ridge Elementary,Spartanburg - River Ridge Elementary,0.7595,Spartanburg - West View Elementary,0.7532,Spartanburg - Pacolet Elementary,0.7467,Spartanburg - Chesnee Elementary,0.7467,Spartanburg - Fairforest Elementary,0.7436,0.0062,manual_review
Berkeley,Berkeley - 78,1,Berkeley - Seventy Eight,Berkeley - Alvin,0.7586,Berkeley - Cross,0.7586,Berkeley - Huger,0.7586,Berkeley - Royle,0.7586,Berkeley - Mcbeth,0.7333,0.0000,manual_review
Lancaster,Lancaster - Belair Number 2,1,Lancaster - Black Horse Run,Lancaster - Elgin,0.7273,Lancaster - Lake House,0.6939,Lancaster - Mcilwain,0.6809,Lancaster - Lancaster East,0.6792,Lancaster - Black Horse Run,0.6667,0.0334,manual_review
Oconee,Oconee - Emergency,1,Oconee - Westminster 1,Oconee - Keowee,0.7273,Oconee - Return,0.7273,Oconee - Ravenel,0.7059,Oconee - Salem,0.6875,Oconee - Seneca 1,0.6857,0.0000,manual_review
Sumter,Sumter - Emergency 2,1,Sumter - Ebenezer 2,Sumter - Rembert,0.7222,Sumter - Ebenezer 2,0.7179,Sumter - Sumter High 2,0.7143,Sumter - Mulberry,0.7027,Sumter - Lemira,0.6857,0.0043,manual_review
Berkeley,Berkeley - Emergency 2,1,Berkeley - Macedonia 2,Berkeley - Medway,0.7179,Berkeley - Sedgefield 2,0.7111,Berkeley - Bethera,0.7000,Berkeley - Sangaree 2,0.6977,Berkeley - Westview 2,0.6977,0.0068,manual_review
Edgefield,Edgefield - Kendall,1,Edgefield - Edgefield No. 2,Edgefield - Westside,0.7179,Edgefield - Provisional,0.7143,Edgefield - Harmony,0.6842,Edgefield - Brunson,0.6842,Edgefield - Failsafe,0.6667,0.0037,manual_review
Spartanburg,Spartanburg - Woodruff Town Hall,1,Spartanburg - Woodruff Elementary,Spartanburg - Drayton,0.7170,Spartanburg - Woodruff Leisure Center,0.6957,Spartanburg - Moore Duncan,0.6897,Spartanburg - Shoally,0.6792,Spartanburg - Clifton Glendale,0.6774,0.0213,manual_review
Dillon,Dillon - Gaddys Mill,1,Dillon - Pleasant Hill,Dillon - Pleasant Hill,0.7143,Dillon - East Dillon,0.7000,Dillon - West Dillon,0.6500,Dillon - Failsafe,0.6486,Dillon - Hamer,0.6471,0.0143,manual_review
Jasper,Jasper - Emergency,1,Jasper - Sun City,Jasper - Levy,0.7097,Jasper - Grays,0.6875,Jasper - Sun City,0.6857,Jasper - Ridgeland 1,0.6842,Jasper - Ridgeland 2,0.6842,0.0222,manual_review
Kershaw,Kershaw - E Camden-Hermitage,1,Kershaw - E. Camden-Hermitage,Kershaw - Camden No. 5-A,0.6923,Kershaw - Camden No. 1,0.6400,Kershaw - Camden No. 5,0.6400,Kershaw - Camden No. 6,0.6400,Kershaw - Camden No. 2 & 3,0.6154,0.0523,manual_review
Lancaster,Lancaster - Goochs Cross Roads,1,Lancaster - Goochs Cross Road,Lancaster - River Road,0.6923,Lancaster - Osceola,0.6531,Lancaster - Provisional,0.6415,Lancaster - Buford,0.6250,Lancaster - Possum Hollow,0.6182,0.0392,manual_review
Horry,Horry - Spring Branch,1,Horry - Mt. Olive,Horry - Adrian,0.6857,Horry - Inland,0.6857,Horry - Cool Springs,0.6829,Horry - Carolina Bays,0.6667,Horry - Atlantic Beach,0.6512,0.0000,manual_review
Spartanburg,Spartanburg - Woodruff American Legion,1,Spartanburg - Woodruff Elementary,Spartanburg - Cudd Memorial,0.6769,Spartanburg - Swofford Career Center,0.6757,Spartanburg - Woodruff Leisure Center,0.6667,Spartanburg - Wade Hampton,0.6562,Spartanburg - Moore Duncan,0.6562,0.0012,manual_review
Horry,Horry - Methodist Rehobeth,1,Horry - Methodist-Mill Swamp,Horry - Methodist-Mill Swamp,0.6667,Horry - Jamestown,0.6047,Horry - Toddville,0.6047,Horry - East Loris,0.5909,Horry - Jet Port #1,0.5909,0.0620,manual_review
Lancaster,Lancaster - Goochs Cross Rds,1,Lancaster - Goochs Cross Road,Lancaster - Buford,0.6522,Lancaster - Camp Creek,0.6400,Lancaster - River Road,0.6400,Lancaster - Antioch,0.6383,Lancaster - Hyde Park,0.6122,0.0122,manual_review
