source_county_fips,source_county_name,source_name,source_id,source_key_display,source_key_norm,source_area_m2,target_county_name,target_county_fips,target_precinct,target_key_display,target_key_norm,overlap_area_m2,share_of_source,share_rank
065,Mccormick,Mt. Carmel,45065001,Mccormick - Mt. Carmel,MCCORMICK - MT. CARMEL,144592195.753004,Mccormick,065,Mt. Carmel,MCCORMICK - MT. CARMEL,MCCORMICK - MT. CARMEL,144592193.794587,1.000000,1
065,Mccormick,McCormick No. 1,45065006,Mccormick - McCormick No. 1,MCCORMICK - MCCORMICK NO. 1,187931954.541588,Mccormick,065,Mccormick No. 1,MCCORMICK - MCCORMICK NO. 1,MCCORMICK - MCCORMICK NO. 1,174311355.287826,0.927524,1
065,Mccormick,McCormick No. 1,45065006,Mccormick - McCormick No. 1,MCCORMICK - MCCORMICK NO. 1,187931954.541588,Mccormick,065,Monticello,MCCORMICK - MONTICELLO,MCCORMICK - MONTICELLO,13620589.929029,0.072476,2
065,Mccormick,Savannah,45065003,Mccormick - Savannah,MCCORMICK - SAVANNAH,77152572.572936,Mccormick,065,Savannah,MCCORMICK - SAVANNAH,MCCORMICK - SAVANNAH,77152571.685859,1.000000,1
065,Mccormick,Bethany,45065008,Mccormick - Bethany,MCCORMICK - BETHANY,102545336.668441,Mccormick,065,Bethany,MCCORMICK - BETHANY,MCCORMICK - BETHANY,102545328.564253,1.000000,1
065,Mccormick,Willington,45065004,Mccormick - Willington,MCCORMICK - WILLINGTON,116249123.171689,Mccormick,065,Willington,MCCORMICK - WILLINGTON,MCCORMICK - WILLINGTON,116249121.266482,1.000000,1
065,Mccormick,Clarks Hill,45065015,Mccormick - Clarks Hill,MCCORMICK - CLARKS HILL,86635056.426285,Mccormick,065,Clark's Hill,MCCORMICK - CLARKS HILL,MCCORMICK - CLARKS HILL,86635056.045880,1.000000,1
065,Mccormick,Modoc,45065014,Mccormick - Modoc,MCCORMICK - MODOC,28051201.400112,Mccormick,065,Modoc,MCCORMICK - MODOC,MCCORMICK - MODOC,28051201.400112,1.000000,1
065,Mccormick,Parksville,45065013,Mccormick - Parksville,MCCORMICK - PARKSVILLE,72589907.199541,Mccormick,065,Parksville,MCCORMICK - PARKSVILLE,MCCORMICK - PARKSVILLE,72589907.199541,1.000000,1
065,Mccormick,Plum Branch,45065010,Mccormick - Plum Branch,MCCORMICK - PLUM BRANCH,148844779.678831,Mccormick,065,Plum Branch,MCCORMICK - PLUM BRANCH,MCCORMICK - PLUM BRANCH,148844777.667316,1.000000,1
