ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
Un,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42255,0.0237,0.1992,0.7896,0.0112,34129,0.8878,0.1122,0.05,0.0252,0.0056,0.029,0.0007
2,40789,-0.0118,0.2730,0.7144,0.0126,33154,0.8128,0.1872,0.035,0.1108,0.0156,0.0243,0.0007
3,42143,0.021,0.3362,0.6438,0.0200,36522,0.7818,0.2182,0.0448,0.0915,0.0637,0.0168,0.0012
4,41992,0.0173,0.1502,0.8384,0.0114,33136,0.8941,0.1059,0.0266,0.0375,0.0053,0.0311,0.0007
5,42142,0.0209,0.2388,0.7485,0.0127,32908,0.7782,0.2218,0.0834,0.103,0.0114,0.0224,0.0012
6,40247,-0.025,0.2838,0.7023,0.0139,31068,0.8012,0.1988,0.0345,0.1156,0.0242,0.0201,0.0008
7,40292,-0.0239,0.2075,0.7823,0.0102,31159,0.7656,0.2344,0.0216,0.1853,0.0048,0.0213,0.0006
8,41145,-0.0032,0.2714,0.7161,0.0125,32693,0.7283,0.2717,0.0377,0.2033,0.0091,0.0208,0.0016
9,41974,0.0169,0.2971,0.6900,0.0129,32676,0.7531,0.2469,0.0553,0.1601,0.0144,0.0186,0.0017
10,42158,0.0213,0.2399,0.7489,0.0112,32069,0.7753,0.2247,0.0794,0.0961,0.0239,0.0246,0.0008
11,40357,-0.0223,0.2682,0.7208,0.0110,31934,0.7383,0.2617,0.0252,0.2097,0.0049,0.019,0.0011
12,40274,-0.0243,0.4783,0.5067,0.0150,32034,0.4623,0.5377,0.0724,0.4467,0.0083,0.0157,0.0012
13,40433,-0.0205,0.2922,0.6958,0.0120,32154,0.7738,0.2262,0.0237,0.1693,0.0146,0.0159,0.001
14,40858,-0.0102,0.2663,0.7232,0.0105,32085,0.6662,0.3338,0.0526,0.2564,0.0066,0.0213,0.0006
15,42302,0.0248,0.4867,0.4974,0.0159,32544,0.4483,0.5517,0.1539,0.3162,0.053,0.0286,0.0029
16,41781,0.0122,0.3530,0.6333,0.0137,31015,0.714,0.286,0.0754,0.1698,0.0198,0.0195,0.0018
17,42109,0.0201,0.2357,0.7491,0.0152,33467,0.8769,0.1231,0.0364,0.0489,0.0091,0.0243,0.0015
18,42229,0.023,0.2681,0.7165,0.0154,32671,0.776,0.224,0.0828,0.1009,0.0172,0.0216,0.001
19,41475,0.0048,0.3884,0.5920,0.0196,32693,0.6556,0.3444,0.1771,0.1318,0.0191,0.0265,0.0017
20,42147,0.0211,0.3244,0.6570,0.0186,32880,0.7329,0.2671,0.1008,0.103,0.0419,0.0199,0.0015
21,42304,0.0249,0.3454,0.6341,0.0205,31721,0.7493,0.2507,0.0735,0.0794,0.0779,0.0151,0.0007
22,42154,0.0212,0.4177,0.5588,0.0235,34044,0.7713,0.2287,0.0641,0.1043,0.0423,0.0165,0.0022
23,40323,-0.0231,0.5909,0.3872,0.0219,31641,0.4255,0.5745,0.1389,0.4102,0.0153,0.0196,0.002
