county,precinct,office,district,party,candidate,votes
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 2,,Cassandra Sann Lomax,38
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 2,,Ellen Earle Leverett,37
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 2,,Faye Thomas,105
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 5,,James JJ Jackson,148
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 5,,Write-In,2
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 7,,Benjamin Greeson,287
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 7,,Write-In,1
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 8,,Matthew H. Gambrell,263
ABBEVILLE,,CITY COUNCIL,Abbeville {dt} 8,,Write-In,2
ABBEVILLE,,CITY MAYOR,Abbeville,,George Trey Edwards III,1057
ABBEVILLE,,CITY MAYOR,Abbeville,,Jason A. Edwards,399
ABBEVILLE,,CITY MAYOR,Abbeville,,Spencer Sorrow,356
ABBEVILLE,,CITY MAYOR,Abbeville,,Write-In,9
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 3,DEM,Charles H. Goodwin,1126
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 3,,Write-In,16
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 4,REP,Billy Norris,1412
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 4,,Write-In,17
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 5,REP,James P. McCord,1668
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 5,,Write-In,12
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 6,REP,Trent Taylor,1656
ABBEVILLE,,COUNTY COUNCIL MEMBER,Abbeville {dt} 6,,Write-In,13
ABBEVILLE,,PRESIDENT,,LIB,Chase Oliver and Mike ter Maat,38
ABBEVILLE,,PRESIDENT,,WORKERS,Claudia De La Cruz and Karina Garcia,16
ABBEVILLE,,PRESIDENT,,UNITEDCITIZE,Cornel West and Melina Abdulla,31
ABBEVILLE,,PRESIDENT,,REP,Donald J. Trump and JD Vance,8509
ABBEVILLE,,PRESIDENT,,GRN,Jill Stein and Rudolph Butch Ware,26
ABBEVILLE,,PRESIDENT,,DEM,Kamala D. Harris and Tim Walz,3399
ABBEVILLE,,PRESIDENT,,CON,Randall A. Terry and Stephen E. Broden,29
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 2,,Joe Boochie Bryson,665
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 2,,Write-In,19
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 4,,Devada Kimsey,330
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 4,,Ralph Stephen Scott,440
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 4,,Write-In,6
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 5,,Marion T. Johnson,787
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 5,,Write-In,11
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 6,,Darren Gray,546
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 6,,Trey Moore,706
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 6,,Write-In,5
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 8,,Jonathon Stoll,338
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 8,,Keith Dunn,637
ABBEVILLE,,SCHOOL BOARD MEMBER,Abbeville County {dt} 8,,Write-In,4
ABBEVILLE,,SOLICITOR,8,REP,David Stumbo,9228
ABBEVILLE,,SOLICITOR,8,,Write-In,41
ABBEVILLE,,STATE HOUSE,11,REP,Craig Gagnon,9182
ABBEVILLE,,STATE HOUSE,11,,Write-In,53
ABBEVILLE,,STATE HOUSE,7,LIB,Hunter Savirino,7
ABBEVILLE,,STATE HOUSE,7,REP,Lee Gilreath,22
