precinct_id,cvap_18plus,hispanic_cvap,non_hispanic_cvap,white_cvap,black_cvap,asian_cvap,native_cvap,pacific_cvap,multiracial_cvap,white_cvap_pct,black_cvap_pct,hispanic_cvap_pct,asian_cvap_pct,native_cvap_pct,pacific_cvap_pct,multiracial_cvap_pct
ABBEVILLE - ABBEVILLE NO. 1,1722,0,1728,1077,631,0,0,0,0,62.54,36.64,0.00,0.00,0.00,0.00,0.00
ABBEVILLE - ABBEVILLE NO. 2,1600,152,1446,558,868,0,0,0,0,34.88,54.25,9.50,0.00,0.00,0.00,0.00
ABBEVILLE - ABBEVILLE NO. 3,1472,0,1473,904,499,0,0,0,0,61.41,33.90,0.00,0.00,0.00,0.00,0.00
ABBEVILLE - ABBEVILLE NO. 4,929,6,922,767,163,0,0,0,0,82.56,17.55,0.65,0.00,0.00,0.00,0.00
ABBEVILLE - ANTREVILLE,1783,12,1775,1548,104,0,0,0,0,86.82,5.83,0.67,0.00,0.00,0.00,0.00
ABBEVILLE - BROADMOUTH,621,0,620,573,22,0,0,0,0,92.27,3.54,0.00,0.00,0.00,0.00,0.00
ABBEVILLE - CALHOUN FALLS,1890,8,1881,721,1116,0,5,0,0,38.15,59.05,0.42,0.00,0.26,0.00,0.00
ABBEVILLE - COLD SPRINGS,922,8,915,840,69,0,0,0,0,91.11,7.48,0.87,0.00,0.00,0.00,0.00
ABBEVILLE - DONALDS,767,33,735,630,102,0,0,0,0,82.14,13.30,4.30,0.00,0.00,0.00,0.00
ABBEVILLE - DUE WEST,2335,59,2275,1662,592,7,0,4,0,71.18,25.35,2.53,0.30,0.00,0.17,0.00
ABBEVILLE - HALLS STORE,964,0,962,815,152,0,0,0,0,84.54,15.77,0.00,0.00,0.00,0.00,0.00
ABBEVILLE - KEOWEE,1543,1,1539,1418,91,0,0,0,0,91.90,5.90,0.06,0.00,0.00,0.00,0.00
ABBEVILLE - LEBANON,545,0,545,407,165,5,0,0,0,74.68,30.28,0.00,0.92,0.00,0.00,0.00
ABBEVILLE - LOWNDESVILLE,1413,24,1391,1096,155,44,6,0,0,77.57,10.97,1.70,3.11,0.42,0.00,0.00
ABBEVILLE - SMITHVILLE,975,18,953,758,201,0,0,0,0,77.74,20.62,1.85,0.00,0.00,0.00,0.00
AIKEN - AIKEN NO. 1,1007,19,988,898,76,0,9,0,0,89.18,7.55,1.89,0.00,0.89,0.00,0.00
AIKEN - AIKEN NO. 2,1642,138,1488,645,779,0,13,0,0,39.28,47.44,8.40,0.00,0.79,0.00,0.00
AIKEN - AIKEN NO. 3,3125,30,3085,520,2475,51,0,0,0,16.64,79.20,0.96,1.63,0.00,0.00,0.00
AIKEN - AIKEN NO. 4,846,15,831,230,578,0,0,0,0,27.19,68.32,1.77,0.00,0.00,0.00,0.00
AIKEN - AIKEN NO. 47,1032,26,1014,874,109,0,0,0,0,84.69,10.56,2.52,0.00,0.00,0.00,0.00
AIKEN - AIKEN NO. 5,1521,76,1439,590,844,13,0,2,0,38.79,55.49,5.00,0.85,0.00,0.13,0.00
AIKEN - AIKEN NO. 6,1436,31,1398,1362,21,14,0,0,0,94.85,1.46,2.16,0.97,0.00,0.00,0.00
AIKEN - ANDERSON POND NO. 69,2026,47,1974,1755,136,17,0,0,0,86.62,6.71,2.32,0.84,0.00,0.00,0.00
AIKEN - ASCAUGA LAKE,1232,23,1209,844,320,17,0,0,0,68.51,25.97,1.87,1.38,0.00,0.00,0.00
AIKEN - ASCAUGA LAKE NO. 84,952,0,952,687,230,8,0,0,0,72.16,24.16,0.00,0.84,0.00,0.00,0.00
AIKEN - BATH,1346,110,1229,780,408,0,0,0,0,57.95,30.31,8.17,0.00,0.00,0.00,0.00
AIKEN - BEECH ISLAND,2133,176,1989,889,964,0,6,0,0,41.68,45.19,8.25,0.00,0.28,0.00,0.00
AIKEN - BELVEDERE NO. 44,1370,56,1312,1129,190,2,0,0,0,82.41,13.87,4.09,0.15,0.00,0.00,0.00
AIKEN - BELVEDERE NO. 62,1169,94,1072,730,292,11,0,0,0,62.45,24.98,8.04,0.94,0.00,0.00,0.00
AIKEN - BELVEDERE NO. 74,592,56,538,454,57,0,7,0,0,76.69,9.63,9.46,0.00,1.18,0.00,0.00
AIKEN - BELVEDERE NO. 9,2102,61,2075,1399,531,11,0,0,0,66.56,25.26,2.90,0.52,0.00,0.00,0.00
AIKEN - BREEZY HILL,850,23,829,546,263,7,0,0,0,64.24,30.94,2.71,0.82,0.00,0.00,0.00
AIKEN - BREEZY NO. 87,688,18,671,442,212,6,0,0,0,64.24,30.81,2.62,0.87,0.00,0.00,0.00
AIKEN - CAROLINA HEIGHTS,1361,29,1238,570,580,0,0,7,0,41.88,42.62,2.13,0.00,0.00,0.51,0.00
AIKEN - CEDAR CREEK NO. 64,1550,0,1550,1458,92,0,0,0,0,94.06,5.94,0.00,0.00,0.00,0.00,0.00
AIKEN - CHINA SPRINGS,2166,297,1873,963,807,6,0,0,22,44.46,37.26,13.71,0.28,0.00,0.00,1.02
AIKEN - CLEARWATER,834,256,609,248,302,0,0,0,0,29.74,36.21,30.70,0.00,0.00,0.00,0.00
AIKEN - COLLEGE ACRES,1975,32,1929,1815,46,16,6,0,22,91.90,2.33,1.62,0.81,0.30,0.00,1.11
AIKEN - COMMUNITY NO. 86,1597,42,1559,1026,494,13,0,0,0,64.25,30.93,2.63,0.81,0.00,0.00,0.00
