precinct_id,cvap_18plus,hispanic_cvap,non_hispanic_cvap,white_cvap,black_cvap,asian_cvap,native_cvap,pacific_cvap,multiracial_cvap,white_cvap_pct,black_cvap_pct,hispanic_cvap_pct,asian_cvap_pct,native_cvap_pct,pacific_cvap_pct,multiracial_cvap_pct
AIKEN - COUCHTON,1630,123,1526,1007,525,0,0,0,0,61.78,32.21,7.55,0.00,0.00,0.00,0.00
AIKEN - CREEK NO. 85,802,53,750,444,244,35,0,0,0,55.36,30.42,6.61,4.36,0.00,0.00,0.00
AIKEN - EUREKA,2251,101,2178,1691,424,0,0,0,0,75.12,18.84,4.49,0.00,0.00,0.00,0.00
AIKEN - FOX CREEK NO. 58,1345,0,1345,1054,286,0,0,0,0,78.36,21.26,0.00,0.00,0.00,0.00,0.00
AIKEN - FOX CREEK NO. 73,2252,100,2152,2035,88,20,9,0,0,90.36,3.91,4.44,0.89,0.40,0.00,0.00
AIKEN - GEM LAKES NO. 60,1332,22,1312,1186,125,0,3,0,0,89.04,9.38,1.65,0.00,0.23,0.00,0.00
AIKEN - GEM LAKES NO. 77,1728,45,1683,1304,314,36,0,0,0,75.46,18.17,2.60,2.08,0.00,0.00,0.00
AIKEN - GLOVERVILLE,1268,18,1243,785,491,0,0,0,0,61.91,38.72,1.42,0.00,0.00,0.00,0.00
AIKEN - GRANITEVILLE,1183,33,1153,712,358,9,7,0,14,60.19,30.26,2.79,0.76,0.59,0.00,1.18
AIKEN - HAMMOND,1094,44,1025,787,165,0,0,0,0,71.94,15.08,4.02,0.00,0.00,0.00,0.00
AIKEN - HAMMOND NO. 81,1476,13,1461,1086,283,0,0,0,0,73.58,19.17,0.88,0.00,0.00,0.00,0.00
AIKEN - HITCHCOCK NO. 66,1637,327,1313,970,266,7,0,0,8,59.25,16.25,19.98,0.43,0.00,0.00,0.49
AIKEN - HOLLOW CREEK,1505,14,1500,1466,15,38,0,0,0,97.41,1.00,0.93,2.52,0.00,0.00,0.00
AIKEN - JACKSON,1896,19,1872,1356,452,5,0,0,0,71.52,23.84,1.00,0.26,0.00,0.00,0.00
AIKEN - LANGLEY,1832,81,1762,1573,137,37,0,0,0,85.86,7.48,4.42,2.02,0.00,0.00,0.00
AIKEN - LEVELS NO. 52,989,13,983,810,70,26,0,1,5,81.90,7.08,1.31,2.63,0.00,0.10,0.51
AIKEN - LEVELS NO. 72,999,45,967,637,192,65,23,9,0,63.76,19.22,4.50,6.51,2.30,0.90,0.00
AIKEN - LEVELS NO. 83,874,27,846,703,148,0,0,0,0,80.43,16.93,3.09,0.00,0.00,0.00,0.00
AIKEN - LYNWOOD,771,0,765,597,146,0,0,0,0,77.43,18.94,0.00,0.00,0.00,0.00,0.00
AIKEN - MIDLAND VALLEY NO. 51,1531,71,1460,946,432,30,0,0,43,61.79,28.22,4.64,1.96,0.00,0.00,2.81
AIKEN - MIDLAND VALLEY NO. 71,1859,10,1845,1523,225,0,9,0,0,81.93,12.10,0.54,0.00,0.48,0.00,0.00
AIKEN - MIDLANDS NO. 88,1176,55,1121,727,332,23,0,0,33,61.82,28.23,4.68,1.96,0.00,0.00,2.81
AIKEN - MILLBROOK,1397,44,1350,986,204,1,2,0,0,70.58,14.60,3.15,0.07,0.14,0.00,0.00
AIKEN - MISTY LAKES,1515,16,1499,1149,325,0,0,0,0,75.84,21.45,1.06,0.00,0.00,0.00,0.00
AIKEN - MONETTA,1582,93,1489,1111,347,4,0,0,0,70.23,21.93,5.88,0.25,0.00,0.00,0.00
AIKEN - MONTMORENCI NO. 22,1967,85,1881,1371,378,52,0,0,0,69.70,19.22,4.32,2.64,0.00,0.00,0.00
AIKEN - MONTMORENCI NO. 78,1177,90,1028,629,372,0,0,0,0,53.44,31.61,7.65,0.00,0.00,0.00,0.00
AIKEN - N. AUGUSTA NO. 25,2033,349,1696,1302,385,0,0,0,0,64.04,18.94,17.17,0.00,0.00,0.00,0.00
AIKEN - N. AUGUSTA NO. 26,935,96,830,570,139,0,0,0,0,60.96,14.87,10.27,0.00,0.00,0.00,0.00
AIKEN - N. AUGUSTA NO. 27,1511,3,1511,1500,47,31,0,0,0,99.27,3.11,0.20,2.05,0.00,0.00,0.00
AIKEN - N. AUGUSTA NO. 28,1484,42,1440,1157,238,44,0,0,0,77.96,16.04,2.83,2.96,0.00,0.00,0.00
AIKEN - N. AUGUSTA NO. 29,2167,110,2054,1621,351,45,4,0,0,74.80,16.20,5.08,2.08,0.18,0.00,0.00
AIKEN - N. AUGUSTA NO. 54,1499,44,1486,1042,438,0,0,11,0,69.51,29.22,2.94,0.00,0.00,0.73,0.00
AIKEN - N. AUGUSTA NO. 55,1194,27,1163,1028,98,39,4,0,0,86.10,8.21,2.26,3.27,0.34,0.00,0.00
AIKEN - N. AUGUSTA NO. 67,1200,92,1111,989,80,1,0,0,0,82.42,6.67,7.67,0.08,0.00,0.00,0.00
AIKEN - N. AUGUSTA NO. 68,2079,136,1942,1150,633,90,0,0,0,55.32,30.45,6.54,4.33,0.00,0.00,0.00
AIKEN - N. AUGUSTA NO. 80,994,170,830,746,47,0,0,0,0,75.05,4.73,17.10,0.00,0.00,0.00,0.00
AIKEN - NEW ELLENTON,1814,26,1826,898,978,0,0,0,0,49.50,53.91,1.43,0.00,0.00,0.00,0.00
AIKEN - NEW HOLLAND,888,16,879,700,141,0,0,0,4,78.83,15.88,1.80,0.00,0.00,0.00,0.45
AIKEN - OAK GROVE,1259,0,1252,944,277,0,7,0,31,74.98,22.00,0.00,0.00,0.56,0.00,2.46
AIKEN - PERRY,748,0,748,613,102,0,0,5,0,81.95,13.64,0.00,0.00,0.00,0.67,0.00
AIKEN - PINE FOREST,2016,357,1663,1585,48,0,6,0,0,78.62,2.38,17.71,0.00,0.30,0.00,0.00
AIKEN - REDDS BRANCH,1555,4,1554,1194,377,0,6,0,6,76.78,24.24,0.26,0.00,0.39,0.00,0.39
AIKEN - SALLEY,746,0,750,231,515,0,0,4,0,30.97,69.03,0.00,0.00,0.00,0.54,0.00
AIKEN - SANDSTONE NO. 70,1070,56,1015,784,182,6,0,0,0,73.27,17.01,5.23,0.56,0.00,0.00,0.00
AIKEN - SANDSTONE NO. 79,1068,47,1018,835,67,41,0,0,0,78.18,6.27,4.40,3.84,0.00,0.00,0.00
AIKEN - SHAWS FORK,620,0,620,521,94,0,0,0,0,84.03,15.16,0.00,0.00,0.00,0.00,0.00
AIKEN - SHILOH,1771,35,1736,1108,553,0,0,0,0,62.56,31.23,1.98,0.00,0.00,0.00,0.00
AIKEN - SILVER BLUFF,2136,77,2074,1056,873,0,5,0,0,49.44,40.87,3.60,0.00,0.23,0.00,0.00
AIKEN - SIX POINTS NO. 35,3079,79,3004,2337,594,31,0,0,7,75.90,19.29,2.57,1.01,0.00,0.00,0.23
AIKEN - SIX POINTS NO. 46,1633,26,1622,163,1489,3,9,0,0,9.98,91.18,1.59,0.18,0.55,0.00,0.00
AIKEN - SLEEPY HOLLOW NO. 65,2105,137,1956,1881,53,30,9,0,0,89.36,2.52,6.51,1.43,0.43,0.00,0.00
AIKEN - SOUTH AIKEN NO. 75,2028,87,1943,1802,82,26,0,0,29,88.86,4.04,4.29,1.28,0.00,0.00,1.43
AIKEN - SOUTH AIKEN NO. 76,1906,156,1750,1346,361,26,0,0,0,70.62,18.94,8.18,1.36,0.00,0.00,0.00
AIKEN - SOUTH CREEK NO. 89,741,60,681,524,141,10,0,0,0,70.72,19.03,8.10,1.35,0.00,0.00,0.00
AIKEN - TABERNACLE,724,15,705,344,354,0,0,0,0,47.51,48.90,2.07,0.00,0.00,0.00,0.00
AIKEN - TALATHA,2307,80,2250,1708,417,0,0,0,0,74.04,18.08,3.47,0.00,0.00,0.00,0.00
AIKEN - VAUCLUSE,2660,123,2515,1593,737,158,4,0,0,59.89,27.71,4.62,5.94,0.15,0.00,0.00
AIKEN - WAGENER,2459,88,2371,1520,842,0,0,0,0,61.81,34.24,3.58,0.00,0.00,0.00,0.00
AIKEN - WARD,2547,52,2476,1916,579,0,0,0,0,75.23,22.73,2.04,0.00,0.00,0.00,0.00
AIKEN - WARRENVILLE,2436,52,2383,1735,646,0,0,0,16,71.22,26.52,2.13,0.00,0.00,0.00,0.66
AIKEN - WHITE POND,635,0,635,470,136,0,0,0,0,74.02,21.42,0.00,0.00,0.00,0.00,0.00
AIKEN - WILLOW SPRINGS,1481,180,1300,1237,70,0,3,0,0,83.52,4.73,12.15,0.00,0.20,0.00,0.00
AIKEN - WINDSOR,1524,6,1498,1353,125,9,0,0,0,88.78,8.20,0.39,0.59,0.00,0.00,0.00
AIKEN - WINDSOR NO. 82,1412,163,1249,714,224,60,0,0,191,50.57,15.86,11.54,4.25,0.00,0.00,13.53
ALLENDALE - ALLENDALE NO. 1,1165,142,1022,363,637,14,0,5,0,31.16,54.68,12.19,1.20,0.00,0.43,0.00
ALLENDALE - ALLENDALE NO. 2,791,57,737,32,696,0,0,0,0,4.05,87.99,7.21,0.00,0.00,0.00,0.00
ALLENDALE - FAIRFAX NO. 1,724,8,716,229,466,0,4,0,0,31.63,64.36,1.10,0.00,0.55,0.00,0.00
ALLENDALE - FAIRFAX NO. 2,1998,19,1979,361,1530,0,6,0,13,18.07,76.58,0.95,0.00,0.30,0.00,0.65
ALLENDALE - MARTIN,338,0,344,61,292,0,0,0,0,18.05,86.39,0.00,0.00,0.00,0.00,0.00
ALLENDALE - SYCAMORE,284,0,283,241,53,0,0,0,6,84.86,18.66,0.00,0.00,0.00,0.00,2.11
ALLENDALE - ULMER,153,0,152,94,56,0,0,0,2,61.44,36.60,0.00,0.00,0.00,0.00,1.31
ALLENDALE - WOODS,765,2,757,173,528,0,31,0,0,22.61,69.02,0.26,0.00,4.05,0.00,0.00
ANDERSON - ANDERSON 11,2179,84,2079,1388,376,20,88,0,60,63.70,17.26,3.85,0.92,4.04,0.00,2.75
ANDERSON - ANDERSON 12,1342,145,1200,1083,35,14,0,4,0,80.70,2.61,10.80,1.04,0.00,0.30,0.00
ANDERSON - ANDERSON 21,1477,38,1442,1280,113,7,1,0,0,86.66,7.65,2.57,0.47,0.07,0.00,0.00
ANDERSON - ANDERSON 22,4672,95,4566,3851,566,80,8,0,0,82.43,12.11,2.03,1.71,0.17,0.00,0.00
ANDERSON - ANDERSON 31,1774,97,1675,946,713,0,6,0,0,53.33,40.19,5.47,0.00,0.34,0.00,0.00
ANDERSON - ANDERSON 32,1284,16,1268,791,415,0,5,0,17,61.60,32.32,1.25,0.00,0.39,0.00,1.32
ANDERSON - ANDERSON 41,1905,54,1844,462,1281,14,0,0,0,24.25,67.24,2.83,0.73,0.00,0.00,0.00
ANDERSON - ANDERSON 42,2113,5,2109,688,1364,7,11,0,12,32.56,64.55,0.24,0.33,0.52,0.00,0.57
ANDERSON - ANDERSON 5B,1628,52,1572,637,939,0,0,6,0,39.13,57.68,3.19,0.00,0.00,0.37,0.00
ANDERSON - ANDERSON 61,2411,35,2393,2005,279,50,4,0,0,83.16,11.57,1.45,2.07,0.17,0.00,0.00
ANDERSON - ANDERSON 62,2067,19,2051,788,1115,0,0,0,0,38.12,53.94,0.92,0.00,0.00,0.00,0.00
ANDERSON - APPLETON-EQUINOX,1160,100,1049,671,372,0,20,0,0,57.84,32.07,8.62,0.00,1.72,0.00,0.00
ANDERSON - BARKERS CREEK-MCADAMS,373,0,371,346,1,0,70,4,0,92.76,0.27,0.00,0.00,18.77,1.07,0.00
ANDERSON - BELTON,2244,40,2185,1810,379,0,0,0,0,80.66,16.89,1.78,0.00,0.00,0.00,0.00
ANDERSON - BELTON ANNEX,2196,58,2153,1804,261,8,0,0,0,82.15,11.89,2.64,0.36,0.00,0.00,0.00
ANDERSON - BISHOPS BRANCH,2240,29,2224,2076,77,19,0,0,0,92.68,3.44,1.29,0.85,0.00,0.00,0.00
ANDERSON - BOWLING GREEN,979,21,974,875,77,0,0,0,5,89.38,7.87,2.15,0.00,0.00,0.00,0.51
ANDERSON - BROADVIEW,469,12,447,232,145,0,0,0,0,49.47,30.92,2.56,0.00,0.00,0.00,0.00
ANDERSON - BROADWAY,1115,8,1111,930,144,0,0,0,0,83.41,12.91,0.72,0.00,0.00,0.00,0.00
ANDERSON - BRUSHY CREEK,3207,66,3137,2854,169,21,40,0,0,88.99,5.27,2.06,0.65,1.25,0.00,0.00
ANDERSON - CEDAR GROVE,1995,39,1957,1822,62,4,0,0,22,91.33,3.11,1.95,0.20,0.00,0.00,1.10
ANDERSON - CENTER ROCK,2912,9,2910,2677,169,0,12,0,0,91.93,5.80,0.31,0.00,0.41,0.00,0.00
ANDERSON - CENTERVILLE STATION A,3321,66,3254,2801,304,70,0,0,0,84.34,9.15,1.99,2.11,0.00,0.00,0.00
ANDERSON - CENTERVILLE STATION B,3060,152,2899,2195,714,0,0,0,0,71.73,23.33,4.97,0.00,0.00,0.00,0.00
ANDERSON - CHIQUOLA MILL,1056,44,1028,760,347,0,0,0,0,71.97,32.86,4.17,0.00,0.00,0.00,0.00
ANDERSON - CONCRETE,3380,104,3277,2778,282,84,30,0,0,82.19,8.34,3.08,2.49,0.89,0.00,0.00
ANDERSON - COXS CREEK,1552,0,1552,1267,54,0,0,0,0,81.64,3.48,0.00,0.00,0.00,0.00,0.00
ANDERSON - CRAYTONVILLE,1018,0,1022,989,2,0,0,4,0,97.15,0.20,0.00,0.00,0.00,0.39,0.00
ANDERSON - DENVER-SANDY SPRINGS,1741,12,1734,1580,66,9,2,0,5,90.75,3.79,0.69,0.52,0.11,0.00,0.29
ANDERSON - EDGEWOOD STATION A,2791,76,2720,2259,342,48,0,0,9,80.94,12.25,2.72,1.72,0.00,0.00,0.32
ANDERSON - EDGEWOOD STATION B,2503,43,2468,1795,305,98,142,0,21,71.71,12.19,1.72,3.92,5.67,0.00,0.84
ANDERSON - FIVE FORKS,1936,4,1919,1758,133,0,12,0,0,90.81,6.87,0.21,0.00,0.62,0.00,0.00
ANDERSON - FLAT ROCK,2108,18,2096,1773,266,0,0,0,0,84.11,12.62,0.85,0.00,0.00,0.00,0.00
ANDERSON - FORK NO. 1,1795,0,1794,1750,15,0,0,1,0,97.49,0.84,0.00,0.00,0.00,0.06,0.00
ANDERSON - FORK NO. 2,1782,0,1781,1695,47,20,0,0,0,95.12,2.64,0.00,1.12,0.00,0.00,0.00
ANDERSON - FRIENDSHIP,1466,13,1436,1271,151,0,0,0,0,86.70,10.30,0.89,0.00,0.00,0.00,0.00
ANDERSON - GLENVIEW,1969,3,1987,1463,325,0,0,0,0,74.30,16.51,0.15,0.00,0.00,0.00,0.00
ANDERSON - GLUCK MILL,1712,179,1532,1135,382,0,0,0,2,66.30,22.31,10.46,0.00,0.00,0.00,0.12
ANDERSON - GREEN POND STATION A,2587,2,2584,2365,146,0,13,0,0,91.42,5.64,0.08,0.00,0.50,0.00,0.00
ANDERSON - HALL,1660,11,1644,1396,175,0,0,0,3,84.10,10.54,0.66,0.00,0.00,0.00,0.18
ANDERSON - HAMMOND ANNEX,2421,133,2268,2143,33,30,0,0,0,88.52,1.36,5.49,1.24,0.00,0.00,0.00
ANDERSON - HAMMOND SCHOOL,2264,34,2226,1939,181,10,0,0,0,85.64,7.99,1.50,0.44,0.00,0.00,0.00
ANDERSON - HIGH POINT,825,7,813,730,38,0,0,0,0,88.48,4.61,0.85,0.00,0.00,0.00,0.00
ANDERSON - HOMELAND PARK,716,8,710,590,73,0,0,0,5,82.40,10.20,1.12,0.00,0.00,0.00,0.70
ANDERSON - HONEA PATH,1478,0,1481,1161,249,0,0,11,0,78.55,16.85,0.00,0.00,0.00,0.74,0.00
ANDERSON - HOPEWELL,1756,82,1674,1465,102,19,0,0,0,83.43,5.81,4.67,1.08,0.00,0.00,0.00
ANDERSON - HUNT MEADOWS,4494,103,4392,3918,262,19,8,0,0,87.18,5.83,2.29,0.42,0.18,0.00,0.00
ANDERSON - IVA,2464,6,2461,2032,325,11,7,0,4,82.47,13.19,0.24,0.45,0.28,0.00,0.16
ANDERSON - JACKSON MILL,1349,2,1343,1145,65,0,0,0,0,84.88,4.82,0.15,0.00,0.00,0.00,0.00
ANDERSON - LAFRANCE,1146,31,1106,935,89,22,4,0,0,81.59,7.77,2.71,1.92,0.35,0.00,0.00
ANDERSON - LAKESIDE,2856,166,2689,1809,700,11,0,0,122,63.34,24.51,5.81,0.39,0.00,0.00,4.27
ANDERSON - MELTON,953,26,927,756,170,0,0,0,0,79.33,17.84,2.73,0.00,0.00,0.00,0.00
ANDERSON - MOUNT TABOR,2913,55,2867,2555,178,0,0,0,11,87.71,6.11,1.89,0.00,0.00,0.00,0.38
ANDERSON - MOUNTAIN CREEK,975,12,954,807,58,0,27,0,12,82.77,5.95,1.23,0.00,2.77,0.00,1.23
ANDERSON - MT. AIRY,2690,153,2535,2217,91,140,0,0,0,82.42,3.38,5.69,5.20,0.00,0.00,0.00
ANDERSON - NEALS CREEK,2602,32,2573,2056,407,59,0,0,0,79.02,15.64,1.23,2.27,0.00,0.00,0.00
ANDERSON - NORTH POINTE,1861,108,1763,1682,66,14,0,0,0,90.38,3.55,5.80,0.75,0.00,0.00,0.00
ANDERSON - PELZER,1169,25,1140,1150,32,8,2,0,0,98.37,2.74,2.14,0.68,0.17,0.00,0.00
ANDERSON - PENDLETON,4312,50,4257,3354,606,33,160,0,0,77.78,14.05,1.16,0.77,3.71,0.00,0.00
ANDERSON - PIEDMONT,1262,7,1254,949,190,34,0,0,0,75.20,15.06,0.55,2.69,0.00,0.00,0.00
ANDERSON - PIERCETOWN,2945,11,2933,2677,178,10,0,2,0,90.90,6.04,0.37,0.34,0.00,0.07,0.00
ANDERSON - POWDERSVILLE,3946,143,3802,3177,664,3,0,0,0,80.51,16.83,3.62,0.08,0.00,0.00,0.00
ANDERSON - ROCK MILL,1333,8,1327,1323,2,13,3,0,0,99.25,0.15,0.60,0.98,0.23,0.00,0.00
ANDERSON - ROCK SPRING,709,0,708,624,59,0,0,0,0,88.01,8.32,0.00,0.00,0.00,0.00,0.00
ANDERSON - SHIRLEYS STORE,751,27,723,542,191,0,0,0,0,72.17,25.43,3.60,0.00,0.00,0.00,0.00
ANDERSON - SIMPSONVILLE,3228,110,3119,2660,124,202,0,0,0,82.40,3.84,3.41,6.26,0.00,0.00,0.00
ANDERSON - SOUTH FANT,1479,98,1395,546,732,0,0,0,17,36.92,49.49,6.63,0.00,0.00,0.00,1.15
ANDERSON - STARR,1312,0,1311,1267,58,0,0,0,0,96.57,4.42,0.00,0.00,0.00,0.00,0.00
ANDERSON - THREE AND TWENTY,2922,66,2859,2738,15,0,0,0,4,93.70,0.51,2.26,0.00,0.00,0.00,0.14
ANDERSON - TONEY CREEK,791,26,768,733,18,0,0,0,0,92.67,2.28,3.29,0.00,0.00,0.00,0.00
ANDERSON - TOWN CREEK,1763,56,1701,1662,18,11,0,0,0,94.27,1.02,3.18,0.62,0.00,0.00,0.00
ANDERSON - TOWNVILLE,894,0,895,885,7,0,0,3,0,98.99,0.78,0.00,0.00,0.00,0.34,0.00
ANDERSON - VARENNES,2507,218,2301,1036,1244,0,0,0,0,41.32,49.62,8.70,0.00,0.00,0.00,0.00
ANDERSON - WEST PELZER,2244,172,2083,1920,31,29,12,0,0,85.56,1.38,7.66,1.29,0.53,0.00,0.00
ANDERSON - WEST SAVANNAH,894,4,891,735,120,12,0,0,0,82.21,13.42,0.45,1.34,0.00,0.00,0.00
ANDERSON - WHITE PLAINS,4174,211,3968,3670,120,13,0,6,16,87.93,2.87,5.06,0.31,0.00,0.14,0.38
ANDERSON - WILLIAMSTON,2826,44,2778,2396,194,0,6,0,6,84.78,6.86,1.56,0.00,0.21,0.00,0.21
ANDERSON - WILLIAMSTON MILL,3399,265,3114,2470,519,0,0,0,3,72.67,15.27,7.80,0.00,0.00,0.00,0.09
ANDERSON - WRIGHTS SCHOOL,1067,36,1032,882,78,0,0,0,0,82.66,7.31,3.37,0.00,0.00,0.00,0.00
BAMBERG - COLSTON,135,1,131,99,32,0,1,0,0,73.33,23.70,0.74,0.00,0.74,0.00,0.00
BAMBERG - EAST DENMARK,2475,53,2423,466,1888,60,0,0,0,18.83,76.28,2.14,2.42,0.00,0.00,0.00
BAMBERG - EDISTO,208,0,209,149,49,0,0,0,0,71.63,23.56,0.00,0.00,0.00,0.00,0.00
BAMBERG - EHRHARDT,720,12,712,436,271,0,3,0,2,60.56,37.64,1.67,0.00,0.42,0.00,0.28
BAMBERG - GOVAN,201,0,202,154,47,0,0,0,0,76.62,23.38,0.00,0.00,0.00,0.00,0.00
BAMBERG - HIGHTOWERS MILL,66,0,65,19,31,0,0,0,0,28.79,46.97,0.00,0.00,0.00,0.00,0.00
BAMBERG - HUNTERS CHAPEL,133,0,131,71,52,0,0,0,0,53.38,39.10,0.00,0.00,0.00,0.00,0.00
BAMBERG - KEARSE,141,0,136,109,15,0,0,0,0,77.30,10.64,0.00,0.00,0.00,0.00,0.00
BAMBERG - LITTLE SWAMP,132,0,134,134,4,0,0,0,0,101.52,3.03,0.00,0.00,0.00,0.00,0.00
BAMBERG - NORTH BAMBERG,2034,0,2036,1204,833,0,0,0,0,59.19,40.95,0.00,0.00,0.00,0.00,0.00
BAMBERG - OLAR,421,0,424,271,156,0,0,0,0,64.37,37.05,0.00,0.00,0.00,0.00,0.00
BAMBERG - SOUTH BAMBERG,2115,0,2114,606,1485,0,0,0,19,28.65,70.21,0.00,0.00,0.00,0.00,0.90
BAMBERG - WEST DENMARK,1782,6,1774,313,1449,0,0,0,0,17.56,81.31,0.34,0.00,0.00,0.00,0.00
BARNWELL - BARNWELL 1,1044,29,1016,359,675,0,0,0,12,34.39,64.66,2.78,0.00,0.00,0.00,1.15
BARNWELL - BARNWELL 2,1868,43,1823,1069,586,3,0,0,24,57.23,31.37,2.30,0.16,0.00,0.00,1.28
BARNWELL - BARNWELL 3,1832,113,1717,1213,485,47,0,0,0,66.21,26.47,6.17,2.57,0.00,0.00,0.00
BARNWELL - BARNWELL 4,1468,0,1472,588,831,19,20,0,0,40.05,56.61,0.00,1.29,1.36,0.00,0.00
BARNWELL - BLACKVILLE 1,902,1,903,256,613,1,0,0,0,28.38,67.96,0.11,0.11,0.00,0.00,0.00
BARNWELL - BLACKVILLE 2,586,0,588,149,435,0,0,0,0,25.43,74.23,0.00,0.00,0.00,0.00,0.00
