year,contest_type,county,source_result_key,target_polygon_key,score,status,confidence,notes
2024,president,,Aiken - Community No. 86,Aiken - Breezy Hill,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Couchton,Aiken - Couchton,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_hard_county_guard
2024,president,,Aiken - Creek No. 85,Aiken - N. Augusta No. 68,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Eureka,Aiken - Eureka,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Aiken - Fox Creek No. 58,Aiken - Fox Creek No. 58,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Misty Lakes,Aiken - Gem Lakes No. 60,1.0000,approved,medium,generated_from_legacy_split_mapping; source_key_manual_top30_applied
2024,president,,Aiken - Misty Lakes,Aiken - Gem Lakes No. 77,1.0000,approved,medium,generated_from_legacy_split_mapping; source_key_manual_top30_applied
2024,president,,Aiken - Gloverville,Aiken - Gloverville,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Graniteville,Aiken - Graniteville,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Hammond No. 48,Aiken - Hammond No. 48,1.0000,approved,medium,generated_from_legacy_split_mapping; source_key_manual_top30_applied
2024,president,,Aiken - Hammond No. 48,Aiken - Hammond No. 81,1.0000,approved,medium,generated_from_legacy_split_mapping; source_key_manual_top30_applied
2024,president,,Aiken - Hitchcock No. 66,Aiken - Hitchcock No. 66,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Hollow Creek,Aiken - Hollow Creek,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Aiken No. 1,Aiken - Jackson,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30_applied
2024,president,,Aiken - Langley,Aiken - Langley,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Aiken - Levels No. 52,Aiken - Levels No. 52,1.0000,approved,medium,generated_from_legacy_split_mapping; source_key_manual_top30_applied
2024,president,,Aiken - Levels No. 52,Aiken - Levels No. 83,1.0000,approved,medium,generated_from_legacy_split_mapping; source_key_manual_top30_applied
2024,president,,Aiken - Levels No. 72,Aiken - Levels No. 72,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Lynwood,Aiken - Lynwood,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Aiken - Midlands No. 88,Aiken - Midland Valley No. 51,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Millbrook,Aiken - Millbrook,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_hard_tight
2024,president,,Aiken - Misty Lakes,Aiken - Misty Lakes,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_medium
2024,president,,Aiken - Monetta,Aiken - Monetta,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Aiken - N. Augusta No. 25,Aiken - N. Augusta No. 25,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - N. Augusta No. 27,Aiken - N. Augusta No. 27,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - N. Augusta No. 28,Aiken - N. Augusta No. 28,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - N. Augusta No. 29,Aiken - N. Augusta No. 29,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - N. Augusta No. 54,Aiken - N. Augusta No. 54,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - N. Augusta No. 55,Aiken - N. Augusta No. 55,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - N. Augusta No. 67,Aiken - N. Augusta No. 67,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - N. Augusta No. 68,Aiken - N. Augusta No. 68,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - New Ellenton,Aiken - New Holland,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - New Holland,Aiken - New Holland,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Oak Grove,Aiken - Oak Grove,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_hard_tight
2024,president,,Aiken - Perry,Aiken - Perry,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Aiken - Pine Forest,Aiken - Pine Forest,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Redds Branch,Aiken - Redds Branch,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Aiken No. 2,Aiken - Salley,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
